task_id,task_label,model_id,model_label,forecast_origin_date,origin_sequence,season_phase,n_predictions_to_date,cumulative_mae_to_date,cumulative_bias_to_date_g
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-01-07,1,early season,1,793.0,793.0
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-01-15,2,early season,2,554.5,554.5
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-01-24,3,mid season,3,381.3333333333333,381.3333333333333
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-01-29,4,mid season,4,391.25,180.75
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-02-05,5,mid season,5,403.6,54.0
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-02-12,6,late season,6,555.6666666666666,-174.33333333333334
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-02-20,7,late season,7,641.5714285714286,15.857142857142858
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-02-26,8,late season,8,689.75,-114.5
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-01-07,1,early season,1,13809.0,13809.0
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-01-15,2,early season,2,13288.5,13288.5
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-01-24,3,mid season,3,12674.333333333334,12674.333333333334
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-01-29,4,mid season,4,11328.0,11328.0
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-02-05,5,mid season,5,9682.4,9682.4
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-02-12,6,late season,6,8265.583333333334,8265.583333333334
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-02-20,7,late season,7,7332.785714285715,7332.785714285715
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-02-26,8,late season,8,6468.625,6468.625
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,persistence,Persistence / no-change baseline,2025-01-07,1,early season,1,793.0,793.0
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,persistence,Persistence / no-change baseline,2025-01-15,2,early season,2,554.5,554.5
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,persistence,Persistence / no-change baseline,2025-01-24,3,mid season,3,381.3333333333333,381.3333333333333
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,persistence,Persistence / no-change baseline,2025-01-29,4,mid season,4,391.25,180.75
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,persistence,Persistence / no-change baseline,2025-02-05,5,mid season,5,403.6,54.0
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,persistence,Persistence / no-change baseline,2025-02-12,6,late season,6,555.6666666666666,-174.33333333333334
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,persistence,Persistence / no-change baseline,2025-02-20,7,late season,7,641.5714285714286,15.857142857142858
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,persistence,Persistence / no-change baseline,2025-02-26,8,late season,8,689.75,-114.5
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,rolling_mean,Rolling mean baseline,2025-01-07,1,early season,1,13809.0,13809.0
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,rolling_mean,Rolling mean baseline,2025-01-15,2,early season,2,13288.5,13288.5
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,rolling_mean,Rolling mean baseline,2025-01-24,3,mid season,3,12674.333333333334,12674.333333333334
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,rolling_mean,Rolling mean baseline,2025-01-29,4,mid season,4,11328.0,11328.0
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,rolling_mean,Rolling mean baseline,2025-02-05,5,mid season,5,9682.4,9682.4
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,rolling_mean,Rolling mean baseline,2025-02-12,6,late season,6,8265.583333333334,8265.583333333334
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,rolling_mean,Rolling mean baseline,2025-02-20,7,late season,7,7332.785714285715,7332.785714285715
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,rolling_mean,Rolling mean baseline,2025-02-26,8,late season,8,6468.625,6468.625
aggregate_next_leading,Direct aggregate next window · leading indicators,persistence,Persistence / no-change baseline,2025-01-07,1,early season,1,793.0,793.0
aggregate_next_leading,Direct aggregate next window · leading indicators,persistence,Persistence / no-change baseline,2025-01-15,2,early season,2,554.5,554.5
aggregate_next_leading,Direct aggregate next window · leading indicators,persistence,Persistence / no-change baseline,2025-01-24,3,mid season,3,381.3333333333333,381.3333333333333
aggregate_next_leading,Direct aggregate next window · leading indicators,persistence,Persistence / no-change baseline,2025-01-29,4,mid season,4,391.25,180.75
aggregate_next_leading,Direct aggregate next window · leading indicators,persistence,Persistence / no-change baseline,2025-02-05,5,mid season,5,403.6,54.0
aggregate_next_leading,Direct aggregate next window · leading indicators,persistence,Persistence / no-change baseline,2025-02-12,6,late season,6,555.6666666666666,-174.33333333333334
aggregate_next_leading,Direct aggregate next window · leading indicators,persistence,Persistence / no-change baseline,2025-02-20,7,late season,7,641.5714285714286,15.857142857142858
aggregate_next_leading,Direct aggregate next window · leading indicators,persistence,Persistence / no-change baseline,2025-02-26,8,late season,8,689.75,-114.5
aggregate_next_leading,Direct aggregate next window · leading indicators,rolling_mean,Rolling mean baseline,2025-01-07,1,early season,1,13809.0,13809.0
aggregate_next_leading,Direct aggregate next window · leading indicators,rolling_mean,Rolling mean baseline,2025-01-15,2,early season,2,13288.5,13288.5
aggregate_next_leading,Direct aggregate next window · leading indicators,rolling_mean,Rolling mean baseline,2025-01-24,3,mid season,3,12674.333333333334,12674.333333333334
aggregate_next_leading,Direct aggregate next window · leading indicators,rolling_mean,Rolling mean baseline,2025-01-29,4,mid season,4,11328.0,11328.0
aggregate_next_leading,Direct aggregate next window · leading indicators,rolling_mean,Rolling mean baseline,2025-02-05,5,mid season,5,9682.4,9682.4
aggregate_next_leading,Direct aggregate next window · leading indicators,rolling_mean,Rolling mean baseline,2025-02-12,6,late season,6,8265.583333333334,8265.583333333334
aggregate_next_leading,Direct aggregate next window · leading indicators,rolling_mean,Rolling mean baseline,2025-02-20,7,late season,7,7332.785714285715,7332.785714285715
aggregate_next_leading,Direct aggregate next window · leading indicators,rolling_mean,Rolling mean baseline,2025-02-26,8,late season,8,6468.625,6468.625
plot_delta_current_state,Plot-level delta-to-next · current-state model,elasticnet,ElasticNet regression,2025-01-07,1,early season,40,273.02505658554253,273.02505658554253
plot_delta_current_state,Plot-level delta-to-next · current-state model,elasticnet,ElasticNet regression,2025-01-15,2,early season,80,173.51255066750304,101.04558541824558
plot_delta_current_state,Plot-level delta-to-next · current-state model,elasticnet,ElasticNet regression,2025-01-24,3,mid season,119,124.46915906807043,64.2593993688863
plot_delta_current_state,Plot-level delta-to-next · current-state model,elasticnet,ElasticNet regression,2025-01-29,4,mid season,158,110.76099446296905,65.26624588535793
plot_delta_current_state,Plot-level delta-to-next · current-state model,elasticnet,ElasticNet regression,2025-02-05,5,mid season,198,93.94853484014416,48.439591837169566
plot_delta_current_state,Plot-level delta-to-next · current-state model,elasticnet,ElasticNet regression,2025-02-12,6,late season,238,84.29125071988945,36.70080443069887
plot_delta_current_state,Plot-level delta-to-next · current-state model,elasticnet,ElasticNet regression,2025-02-20,7,late season,278,78.03599236660646,36.52115198260919
plot_delta_current_state,Plot-level delta-to-next · current-state model,elasticnet,ElasticNet regression,2025-02-26,8,late season,318,77.97710892613766,41.62731434289803
plot_delta_current_state,Plot-level delta-to-next · current-state model,extra_trees,Extra Trees,2025-01-07,1,early season,40,183.93389594384385,183.93389594384385
plot_delta_current_state,Plot-level delta-to-next · current-state model,extra_trees,Extra Trees,2025-01-15,2,early season,80,111.59852969358451,111.59852969358451
plot_delta_current_state,Plot-level delta-to-next · current-state model,extra_trees,Extra Trees,2025-01-24,3,mid season,119,82.94208075034884,82.85919660519512
plot_delta_current_state,Plot-level delta-to-next · current-state model,extra_trees,Extra Trees,2025-01-29,4,mid season,158,70.99364753737481,70.05517103893003
plot_delta_current_state,Plot-level delta-to-next · current-state model,extra_trees,Extra Trees,2025-02-05,5,mid season,198,67.5650637636304,65.28033663091539
plot_delta_current_state,Plot-level delta-to-next · current-state model,extra_trees,Extra Trees,2025-02-12,6,late season,238,60.482948306676995,52.934247744085006
plot_delta_current_state,Plot-level delta-to-next · current-state model,extra_trees,Extra Trees,2025-02-20,7,late season,278,59.65337647819043,53.150512452519166
