task_id,task_label,level,target_mode,feature_mode,model_id,model_label,n_predictions,n_target_windows,n_forecast_origins,median_training_rows,n_model_features,mae,rmse,r2,bias_predicted_minus_observed_g,mae_improvement_pct_vs_persistence
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,current_state,persistence,Persistence / no-change baseline,8,8,8,10.5,116,689.75,809.1364223664635,-0.024939287734067506,-114.5,0.0
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,aggregate,next,current_state,persistence,Persistence / no-change baseline,8,8,8,10.5,116,689.75,809.1364223664635,-0.024939287734067506,-114.5,0.0
aggregate_next_leading,Direct aggregate next window · leading indicators,aggregate,next,leading,persistence,Persistence / no-change baseline,8,8,8,10.5,104,689.75,809.1364223664635,-0.024939287734067506,-114.5,0.0
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,current_state,rolling_mean,Rolling mean baseline,8,8,8,10.5,116,6468.625,8306.972677365684,-107.0289619523421,6468.625,-837.8216745197536
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,aggregate,next,current_state,rolling_mean,Rolling mean baseline,8,8,8,10.5,116,6468.625,8306.972677365684,-107.0289619523421,6468.625,-837.8216745197536
aggregate_next_leading,Direct aggregate next window · leading indicators,aggregate,next,leading,rolling_mean,Rolling mean baseline,8,8,8,10.5,104,6468.625,8306.972677365684,-107.0289619523421,6468.625,-837.8216745197536
plot_delta_current_state,Plot-level delta-to-next · current-state model,plot,delta,current_state,persistence,Persistence / no-change baseline,318,8,8,438.0,101,22.10691823899371,35.593971647036845,-0.1701391013662512,-2.9056603773584904,0.0
plot_next_current_state,Plot-level next yield · current-state upper bound,plot,next,current_state,persistence,Persistence / no-change baseline,318,8,8,438.0,101,22.10691823899371,35.593971647036845,-0.1701391013662512,-2.9056603773584904,0.0
plot_next_leading,Plot-level next yield · leading indicators,plot,next,leading,persistence,Persistence / no-change baseline,318,8,8,438.0,95,22.10691823899371,35.593971647036845,-0.1701391013662512,-2.9056603773584904,0.0
plot_delta_current_state,Plot-level delta-to-next · current-state model,plot,delta,current_state,hist_gradient_boosting,HistGradientBoosting,318,8,8,438.0,101,42.085442774207195,58.179827522897206,-2.126291360892537,35.21676235459563,-90.3722731464849
plot_next_current_state,Plot-level next yield · current-state upper bound,plot,next,current_state,hist_gradient_boosting,HistGradientBoosting,318,8,8,438.0,101,46.56349641369848,61.79464346479422,-2.526844024633839,37.06039293904801,-110.62861820136725
plot_next_leading,Plot-level next yield · leading indicators,plot,next,leading,hist_gradient_boosting,HistGradientBoosting,318,8,8,438.0,95,50.229013334208744,66.09959434534099,-3.0353590271241915,40.61587165530386,-127.20947710211068
plot_delta_current_state,Plot-level delta-to-next · current-state model,plot,delta,current_state,extra_trees,Extra Trees,318,8,8,438.0,101,55.695460453338285,80.5780552723976,-4.996780530537808,45.217659075151424,-151.9367912398517
plot_next_leading,Plot-level next yield · leading indicators,plot,next,leading,random_forest,Random Forest,318,8,8,438.0,95,60.606541391703296,80.61600813538641,-5.002430917322296,49.63063573544841,-174.15192265379304
plot_next_current_state,Plot-level next yield · current-state upper bound,plot,next,current_state,random_forest,Random Forest,318,8,8,438.0,101,60.85000705088748,78.27745125125637,-4.659237815072895,48.57704370098425,-175.25323246347395
plot_next_current_state,Plot-level next yield · current-state upper bound,plot,next,current_state,extra_trees,Extra Trees,318,8,8,438.0,101,62.35882041221936,76.71868661541393,-4.436093404632687,53.23542226108944,-182.07830570534503
plot_delta_current_state,Plot-level delta-to-next · current-state model,plot,delta,current_state,gradient_boosting,Gradient Boosting,318,8,8,438.0,101,63.17759166192961,82.81206656197503,-5.333909250620512,55.37227788777783,-185.7819935774341
plot_next_leading,Plot-level next yield · leading indicators,plot,next,leading,extra_trees,Extra Trees,318,8,8,438.0,95,64.9839878722334,79.44642630452739,-4.829527083682289,56.6385528610601,-193.9531741588936
plot_next_leading,Plot-level next yield · leading indicators,plot,next,leading,gradient_boosting,Gradient Boosting,318,8,8,438.0,95,66.13508130041019,89.62667571216103,-6.419235708449006,56.714439167828274,-199.1601117145155
plot_next_current_state,Plot-level next yield · current-state upper bound,plot,next,current_state,gradient_boosting,Gradient Boosting,318,8,8,438.0,101,66.60879139846148,88.9299093610752,-6.304328405246995,52.94724911215177,-201.30292552931363
plot_delta_current_state,Plot-level delta-to-next · current-state model,plot,delta,current_state,random_forest,Random Forest,318,8,8,438.0,101,66.7046368309573,91.59232367498156,-6.748234316377746,55.26586867456278,-201.73647954828476
plot_delta_current_state,Plot-level delta-to-next · current-state model,plot,delta,current_state,elasticnet,ElasticNet regression,318,8,8,438.0,101,77.97710892613766,113.90159429896062,-10.982410606674572,41.62731434289802,-252.72717835720874
plot_next_current_state,Plot-level next yield · current-state upper bound,plot,next,current_state,elasticnet,ElasticNet regression,318,8,8,438.0,101,80.46937402992619,117.30344862290556,-11.708847021165177,39.89830238577045,-264.00086687790224
plot_delta_current_state,Plot-level delta-to-next · current-state model,plot,delta,current_state,ridge,Ridge regression,318,8,8,438.0,101,89.19269303365652,128.22325353584566,-14.185118193287163,43.235752702883545,-303.46054601284175
