task_id,task_label,model_id,model_label,season_phase,n_predictions,mae,bias_predicted_minus_observed_g
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,persistence,Persistence / no-change baseline,early season,2,554.5,554.5
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,persistence,Persistence / no-change baseline,late season,3,1166.6666666666667,-395.3333333333333
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,persistence,Persistence / no-change baseline,mid season,3,303.0,-279.6666666666667
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,rolling_mean,Rolling mean baseline,early season,2,13288.5,13288.5
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,rolling_mean,Rolling mean baseline,late season,3,1112.3333333333333,1112.3333333333333
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,rolling_mean,Rolling mean baseline,mid season,3,7278.333333333333,7278.333333333333
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,persistence,Persistence / no-change baseline,early season,2,554.5,554.5
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,persistence,Persistence / no-change baseline,late season,3,1166.6666666666667,-395.3333333333333
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,persistence,Persistence / no-change baseline,mid season,3,303.0,-279.6666666666667
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,rolling_mean,Rolling mean baseline,early season,2,13288.5,13288.5
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,rolling_mean,Rolling mean baseline,late season,3,1112.3333333333333,1112.3333333333333
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,rolling_mean,Rolling mean baseline,mid season,3,7278.333333333333,7278.333333333333
aggregate_next_leading,Direct aggregate next window · leading indicators,persistence,Persistence / no-change baseline,early season,2,554.5,554.5
aggregate_next_leading,Direct aggregate next window · leading indicators,persistence,Persistence / no-change baseline,late season,3,1166.6666666666667,-395.3333333333333
aggregate_next_leading,Direct aggregate next window · leading indicators,persistence,Persistence / no-change baseline,mid season,3,303.0,-279.6666666666667
aggregate_next_leading,Direct aggregate next window · leading indicators,rolling_mean,Rolling mean baseline,early season,2,13288.5,13288.5
aggregate_next_leading,Direct aggregate next window · leading indicators,rolling_mean,Rolling mean baseline,late season,3,1112.3333333333333,1112.3333333333333
aggregate_next_leading,Direct aggregate next window · leading indicators,rolling_mean,Rolling mean baseline,mid season,3,7278.333333333333,7278.333333333333
plot_delta_current_state,Plot-level delta-to-next · current-state model,elasticnet,ElasticNet regression,early season,80,173.51255066750304,101.04558541824558
plot_delta_current_state,Plot-level delta-to-next · current-state model,elasticnet,ElasticNet regression,late season,120,51.62425616802692,30.387056477349976
