season,feature_set,model_label,fold_id,input_start_date,input_end_date,target_horizon_index,target_date,n_heldout_plots,observed_total_yield_g,predicted_total_yield_g,last_observed_total_yield_baseline_g,mean_observed_history_total_yield_baseline_g,aggregate_error_g,aggregate_abs_error_g,validation_scope
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,1,2024-01-08,2024-02-06,1,2024-02-13,8,3534.0,3190.2352941176473,2747.0,1405.6,-343.7647058823527,343.7647058823527,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,1,2024-01-08,2024-02-06,2,2024-02-20,8,2468.0,2220.0,2747.0,1405.6,-248.0,248.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,1,2024-01-08,2024-02-06,3,2024-02-27,8,2367.0,3257.529411764706,2747.0,1405.6,890.5294117647059,890.5294117647059,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,2,2024-01-08,2024-02-06,1,2024-02-13,8,3284.0,3426.0,3248.0,1770.8,142.0,142.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,2,2024-01-08,2024-02-06,2,2024-02-20,8,2683.0,2207.25,3248.0,1770.8,-475.75,475.75,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,2,2024-01-08,2024-02-06,3,2024-02-27,8,3913.0,2793.0,3248.0,1770.8,-1120.0,1120.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,3,2024-01-08,2024-02-06,1,2024-02-13,8,3088.0,3363.21568627451,3173.0,1639.0,275.21568627451006,275.21568627451006,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,3,2024-01-08,2024-02-06,2,2024-02-20,8,1914.0,2400.431372549019,3173.0,1639.0,486.4313725490192,486.4313725490192,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,3,2024-01-08,2024-02-06,3,2024-02-27,8,2452.0,3229.6666666666665,3173.0,1639.0,777.6666666666665,777.6666666666665,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,4,2024-01-08,2024-02-06,1,2024-02-13,8,4173.0,3301.3492063492067,3554.0,1863.2,-871.6507936507933,871.6507936507933,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,4,2024-01-08,2024-02-06,2,2024-02-20,8,2408.0,2256.0,3554.0,1863.2,-152.0,152.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,4,2024-01-08,2024-02-06,3,2024-02-27,8,3510.0,2622.6190476190477,3554.0,1863.2,-887.3809523809523,887.3809523809523,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,5,2024-01-08,2024-02-06,1,2024-02-13,8,2909.0,3519.75,3069.0,1540.6,610.75,610.75,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,5,2024-01-08,2024-02-06,2,2024-02-20,8,2039.0,2368.25,3069.0,1540.6,329.25,329.25,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,5,2024-01-08,2024-02-06,3,2024-02-27,8,2843.0,3060.5,3069.0,1540.6,217.5,217.5,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,ElasticNet,1,2024-01-08,2024-02-06,1,2024-02-13,8,3534.0,4263.357828904048,2747.0,1405.6,729.3578289040479,729.3578289040479,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,ElasticNet,1,2024-01-08,2024-02-06,2,2024-02-20,8,2468.0,2282.900625516317,2747.0,1405.6,-185.09937448368282,185.09937448368282,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,ElasticNet,1,2024-01-08,2024-02-06,3,2024-02-27,8,2367.0,3573.5172061110793,2747.0,1405.6,1206.5172061110793,1206.5172061110793,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,ElasticNet,2,2024-01-08,2024-02-06,1,2024-02-13,8,3284.0,4033.482716951376,3248.0,1770.8,749.482716951376,749.482716951376,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,ElasticNet,2,2024-01-08,2024-02-06,2,2024-02-20,8,2683.0,2176.9296463575465,3248.0,1770.8,-506.0703536424535,506.0703536424535,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,ElasticNet,2,2024-01-08,2024-02-06,3,2024-02-27,8,3913.0,3276.2515192608976,3248.0,1770.8,-636.7484807391024,636.7484807391024,held_out_cv_fold_aggregate_primary
