season,plot_id,target_horizon_index,target_date,target_yield_g
2324,B11,1,2024-02-13,99.0
2324,B11,2,2024-02-20,143.0
2324,B11,3,2024-02-27,128.0
2324,B12,1,2024-02-13,433.0
2324,B12,2,2024-02-20,169.0
2324,B12,3,2024-02-27,402.0
2324,B13,1,2024-02-13,182.0
2324,B13,2,2024-02-20,199.0
2324,B13,3,2024-02-27,253.0
2324,B14,1,2024-02-13,293.0
2324,B14,2,2024-02-20,100.0
2324,B14,3,2024-02-27,359.0
2324,B15,1,2024-02-13,299.0
2324,B15,2,2024-02-20,67.0
2324,B15,3,2024-02-27,165.0
2324,B21,1,2024-02-13,135.0
2324,B21,2,2024-02-20,144.0
2324,B21,3,2024-02-27,300.0
2324,B22,1,2024-02-13,134.0
2324,B22,2,2024-02-20,264.0
2324,B22,3,2024-02-27,430.0
2324,B23,1,2024-02-13,266.0
2324,B23,2,2024-02-20,279.0
2324,B23,3,2024-02-27,468.0
2324,B24,1,2024-02-13,490.0
2324,B24,2,2024-02-20,398.0
2324,B24,3,2024-02-27,659.0
2324,B25,1,2024-02-13,633.0
2324,B25,2,2024-02-20,266.0
2324,B25,3,2024-02-27,616.0
2324,B41,1,2024-02-13,351.0
2324,B41,2,2024-02-20,256.0
2324,B41,3,2024-02-27,673.0
2324,B42,1,2024-02-13,455.0
2324,B42,2,2024-02-20,356.0
2324,B42,3,2024-02-27,471.0
2324,B43,1,2024-02-13,464.0
2324,B43,2,2024-02-20,318.0
2324,B43,3,2024-02-27,352.0
2324,B44,1,2024-02-13,275.0
2324,B44,2,2024-02-20,507.0
2324,B44,3,2024-02-27,636.0
2324,B45,1,2024-02-13,512.0
2324,B45,2,2024-02-20,258.0
2324,B45,3,2024-02-27,275.0
2324,B51,1,2024-02-13,420.0
2324,B51,2,2024-02-20,424.0
2324,B51,3,2024-02-27,485.0
2324,B52,1,2024-02-13,425.0
2324,B52,2,2024-02-20,407.0
2324,B52,3,2024-02-27,283.0
2324,B53,1,2024-02-13,451.0
2324,B53,2,2024-02-20,166.0
2324,B53,3,2024-02-27,299.0
2324,B54,1,2024-02-13,493.0
2324,B54,2,2024-02-20,473.0
2324,B54,3,2024-02-27,490.0
2324,B55,1,2024-02-13,566.0
2324,B55,2,2024-02-20,289.0
2324,B55,3,2024-02-27,233.0
2324,M11,1,2024-02-13,110.0
2324,M11,2,2024-02-20,84.0
2324,M11,3,2024-02-27,176.0
2324,M12,1,2024-02-13,729.0
2324,M12,2,2024-02-20,479.0
