season,feature_set,model_label,fold_id,validation_scope,n_target_horizons,mean_heldout_plots_per_row,same_horizon_corr,prediction_vs_previous_horizon_corr,same_horizon_mae_g,prediction_vs_previous_horizon_mae_g,prediction_vs_last_history_mae_g,target_vs_last_history_mae_g,direction_accuracy,lag_warning,lag_note
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,2,held_out_cv_fold_aggregate_primary,3,8.0,,,422.0,300.5,0.0,422.0,0.0,True,prediction is substantially closer to previous future horizon than target; future direction changes are not captured; last-observed baseline is reactive by definition
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,5,held_out_cv_fold_aggregate_primary,3,8.0,,,472.0,595.0,0.0,472.0,0.0,True,future direction changes are not captured; last-observed baseline is reactive by definition
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,1,held_out_cv_fold_aggregate_primary,3,8.0,,,482.0,533.0,0.0,482.0,0.0,True,future direction changes are not captured; last-observed baseline is reactive by definition
2324,paper_informed_nonreactive,ElasticNet,5,held_out_cv_fold_aggregate_primary,3,8.0,-0.4719056868746991,-1.0,573.2562126221253,479.30665492877984,656.1708658065273,472.0,0.5,True,prediction is substantially closer to previous future horizon than target
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,4,held_out_cv_fold_aggregate_primary,3,8.0,,,603.0,882.5,0.0,603.0,0.0,True,future direction changes are not captured; last-observed baseline is reactive by definition
2324,paper_informed_nonreactive,Extra Trees,2,held_out_cv_fold_aggregate_primary,3,8.0,0.37172280008161007,-1.0,660.5335113002467,591.7260019196492,639.2001779669134,422.0,1.0,True,prediction is substantially closer to previous future horizon than target
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,3,held_out_cv_fold_aggregate_primary,3,8.0,,,688.3333333333334,672.0,0.0,688.3333333333334,0.0,True,future direction changes are not captured; last-observed baseline is reactive by definition
2324,paper_informed_nonreactive,Gradient Boosting,2,held_out_cv_fold_aggregate_primary,3,8.0,0.21053856772301568,-1.0,693.0676990033726,473.55217932131245,671.7343656700392,422.0,1.0,True,prediction is substantially closer to previous future horizon than target
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,3,held_out_cv_fold_aggregate_primary,3,8.0,,,845.6666666666666,862.0,1534.0,688.3333333333334,0.0,True,future direction changes are not captured
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,5,held_out_cv_fold_aggregate_primary,3,8.0,,,1056.4,933.4000000000001,1528.4000000000003,472.0,0.0,True,prediction is substantially closer to previous future horizon than target; future direction changes are not captured
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,1,held_out_cv_fold_aggregate_primary,3,8.0,,,1384.0666666666668,1595.4,1341.4,482.0,0.0,True,future direction changes are not captured
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,4,held_out_cv_fold_aggregate_primary,3,8.0,,,1500.466666666667,1427.3000000000002,1690.8,603.0,0.0,True,future direction changes are not captured
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,2,held_out_cv_fold_aggregate_primary,3,8.0,,,1522.5333333333335,1212.7,1477.2,422.0,0.0,True,prediction is substantially closer to previous future horizon than target; future direction changes are not captured
2324,paper_informed_nonreactive,Zero yield baseline,3,held_out_cv_fold_aggregate_primary,3,8.0,,,2484.6666666666665,2501.0,3173.0,688.3333333333334,0.0,True,future direction changes are not captured
2324,paper_informed_nonreactive,Zero yield baseline,5,held_out_cv_fold_aggregate_primary,3,8.0,,,2597.0,2474.0,3069.0,472.0,0.0,True,future direction changes are not captured
2324,paper_informed_nonreactive,Zero yield baseline,1,held_out_cv_fold_aggregate_primary,3,8.0,,,2789.6666666666665,3001.0,2747.0,482.0,0.0,True,future direction changes are not captured
2324,paper_informed_nonreactive,Zero yield baseline,2,held_out_cv_fold_aggregate_primary,3,8.0,,,3293.3333333333335,2983.5,3248.0,422.0,0.0,True,future direction changes are not captured
2324,paper_informed_nonreactive,Zero yield baseline,4,held_out_cv_fold_aggregate_primary,3,8.0,,,3363.6666666666665,3290.5,3554.0,603.0,0.0,True,future direction changes are not captured
2324,paper_informed_nonreactive,Random Forest,5,held_out_cv_fold_aggregate_primary,3,8.0,0.9998053041533235,-0.9999999999999999,48.26518761485462,796.2591736041732,515.8069131609132,472.0,1.0,False,
2324,paper_informed_nonreactive,Gradient Boosting,5,held_out_cv_fold_aggregate_primary,3,8.0,0.9901635463473362,-1.0,109.86666454959489,892.0946752909372,362.1333354504051,472.0,1.0,False,
2324,paper_informed_nonreactive,Extra Trees,5,held_out_cv_fold_aggregate_primary,3,8.0,0.9748636515654806,-1.0,133.83904434146112,715.2545477809228,605.8390443414611,472.0,1.0,False,
2324,paper_informed_nonreactive,Extra Trees,4,held_out_cv_fold_aggregate_primary,3,8.0,0.9983984985040667,-1.0,373.23167803801107,1179.4950464350466,488.62884769551437,603.0,1.0,False,
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,5,held_out_cv_fold_aggregate_primary,3,8.0,0.9430480231955819,-1.0,385.8333333333333,781.125,386.6666666666667,472.0,1.0,False,
2324,paper_informed_nonreactive,HistGradientBoosting,5,held_out_cv_fold_aggregate_primary,3,8.0,0.9430480231955819,-1.0,385.8333333333333,781.125,386.6666666666667,472.0,1.0,False,
2324,paper_informed_nonreactive,Training horizon mean baseline,5,held_out_cv_fold_aggregate_primary,3,8.0,0.9430480231955819,-1.0,385.8333333333333,781.125,386.6666666666667,472.0,1.0,False,
2324,paper_informed_nonreactive,Ridge,5,held_out_cv_fold_aggregate_primary,3,8.0,0.07656311935217867,-1.0,386.7782423533292,570.8403676820947,589.3857775818092,472.0,0.5,False,
2324,paper_informed_nonreactive,ElasticNet,3,held_out_cv_fold_aggregate_primary,3,8.0,0.9479820047843269,-1.0,393.6507962700936,1119.901847399049,497.12358811808116,688.3333333333334,1.0,False,
