season,feature_set,model_label,n_predictions,mae,mean_interval_width_g,median_interval_width_g,interval_coverage_pct,mean_calibration_residual_n
2324,paper_informed_nonreactive,Extra Trees,120,108.34541677886338,354.65641133223943,347.2575502164502,75.0,32.0
2324,paper_informed_nonreactive,Random Forest,120,111.4313965563757,343.29832495960835,348.0241390091393,74.16666666666667,32.0
2324,paper_informed_nonreactive,Gradient Boosting,120,119.53048390864416,375.9164645598259,368.3961673853663,72.5,32.0
2324,paper_informed_nonreactive,Ridge,120,131.38116328846905,397.36761526442126,405.20201153083804,75.0,32.0
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,120,135.0,365.1075000000001,372.8500000000001,77.5,32.0
2324,paper_informed_nonreactive,HistGradientBoosting,120,137.6890625,451.6472916666668,468.06562500000007,77.5,32.0
2324,paper_informed_nonreactive,Training horizon mean baseline,120,137.6890625,451.6472916666668,468.06562500000007,77.5,32.0
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,120,144.23589032835355,444.9732168534081,483.3113970588237,74.16666666666667,32.0
2324,paper_informed_nonreactive,ElasticNet,120,163.83049257771376,455.9524866429318,443.0865396538687,76.66666666666667,32.0
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,120,170.45833333333334,325.42266666666666,325.96000000000004,77.5,32.0
2324,paper_informed_nonreactive,Zero yield baseline,120,363.2083333333333,438.68,435.19999999999993,75.0,32.0
2425,paper_informed_nonreactive,Random Forest,160,24.22136872583435,67.3585074305753,61.4960566822067,75.625,32.0
2425,paper_informed_nonreactive,Gradient Boosting,160,24.23214093065737,62.571540559198276,56.36227184771673,76.25,32.0
2425,paper_informed_nonreactive,Extra Trees,160,24.485940474941152,67.90549291876405,60.32309716305372,76.25,32.0
2425,paper_informed_nonreactive,Cultivar horizon mean baseline,160,25.20432933590103,80.51294374416435,80.15896883753504,75.0,32.0
2425,paper_informed_nonreactive,Ridge,160,25.798167101396235,64.05482683112321,59.74334609604251,76.875,32.0
2425,paper_informed_nonreactive,HistGradientBoosting,160,26.391015625,83.94765625000002,83.06093750000002,75.0,32.0
2425,paper_informed_nonreactive,Training horizon mean baseline,160,26.391015625,83.94765625000002,83.06093750000002,75.0,32.0
2425,paper_informed_nonreactive,Observed 5-week mean yield baseline,160,32.868125000000006,83.72006250000004,81.33000000000001,74.375,32.0
2425,paper_informed_nonreactive,ElasticNet,160,33.125154880043766,81.90509737393157,69.48653233390993,74.375,32.0
2425,paper_informed_nonreactive,Last observed week-5 yield baseline,160,33.79375,80.93375000000002,80.65,75.0,32.0
2425,paper_informed_nonreactive,Zero yield baseline,160,40.13125,82.66000000000001,80.25000000000003,79.375,32.0
