season,feature_set,model_label,weather_driver,mean_importance,total_importance,n_feature_rows,weather_importance_share_pct
2324,paper_informed_nonreactive,ElasticNet,Growing degree days,0.0,0.0,150,
2324,paper_informed_nonreactive,ElasticNet,Humidity / dew point,0.0,0.0,75,
2324,paper_informed_nonreactive,ElasticNet,Rainfall,0.0,0.0,150,
2324,paper_informed_nonreactive,ElasticNet,Solar radiation,0.0,0.0,150,
2324,paper_informed_nonreactive,ElasticNet,Temperature,0.0,0.0,75,
2324,paper_informed_nonreactive,Extra Trees,Growing degree days,0.0,0.0,150,
2324,paper_informed_nonreactive,Extra Trees,Humidity / dew point,0.0,0.0,75,
2324,paper_informed_nonreactive,Extra Trees,Rainfall,0.0,0.0,150,
2324,paper_informed_nonreactive,Extra Trees,Solar radiation,0.0,0.0,150,
2324,paper_informed_nonreactive,Extra Trees,Temperature,0.0,0.0,75,
2324,paper_informed_nonreactive,Gradient Boosting,Growing degree days,0.0,0.0,150,
2324,paper_informed_nonreactive,Gradient Boosting,Humidity / dew point,0.0,0.0,75,
2324,paper_informed_nonreactive,Gradient Boosting,Rainfall,0.0,0.0,150,
2324,paper_informed_nonreactive,Gradient Boosting,Solar radiation,0.0,0.0,150,
2324,paper_informed_nonreactive,Gradient Boosting,Temperature,0.0,0.0,75,
2324,paper_informed_nonreactive,Random Forest,Growing degree days,0.0,0.0,150,
2324,paper_informed_nonreactive,Random Forest,Humidity / dew point,0.0,0.0,75,
2324,paper_informed_nonreactive,Random Forest,Rainfall,0.0,0.0,150,
2324,paper_informed_nonreactive,Random Forest,Solar radiation,0.0,0.0,150,
2324,paper_informed_nonreactive,Random Forest,Temperature,0.0,0.0,75,
2324,paper_informed_nonreactive,Ridge,Growing degree days,0.0,0.0,150,
2324,paper_informed_nonreactive,Ridge,Humidity / dew point,0.0,0.0,75,
2324,paper_informed_nonreactive,Ridge,Rainfall,0.0,0.0,150,
2324,paper_informed_nonreactive,Ridge,Solar radiation,0.0,0.0,150,
2324,paper_informed_nonreactive,Ridge,Temperature,0.0,0.0,75,
2425,paper_informed_nonreactive,ElasticNet,Growing degree days,0.0,0.0,200,
2425,paper_informed_nonreactive,ElasticNet,Humidity / dew point,0.0,0.0,100,
2425,paper_informed_nonreactive,ElasticNet,Rainfall,0.0,0.0,200,
2425,paper_informed_nonreactive,ElasticNet,Solar radiation,0.0,0.0,200,
2425,paper_informed_nonreactive,ElasticNet,Temperature,0.0,0.0,100,
2425,paper_informed_nonreactive,Extra Trees,Growing degree days,0.0,0.0,200,
2425,paper_informed_nonreactive,Extra Trees,Humidity / dew point,0.0,0.0,100,
2425,paper_informed_nonreactive,Extra Trees,Rainfall,0.0,0.0,200,
2425,paper_informed_nonreactive,Extra Trees,Solar radiation,0.0,0.0,200,
2425,paper_informed_nonreactive,Extra Trees,Temperature,0.0,0.0,100,
2425,paper_informed_nonreactive,Gradient Boosting,Growing degree days,0.0,0.0,200,
2425,paper_informed_nonreactive,Gradient Boosting,Humidity / dew point,0.0,0.0,100,
2425,paper_informed_nonreactive,Gradient Boosting,Rainfall,0.0,0.0,200,
2425,paper_informed_nonreactive,Gradient Boosting,Solar radiation,0.0,0.0,200,
2425,paper_informed_nonreactive,Gradient Boosting,Temperature,0.0,0.0,100,
2425,paper_informed_nonreactive,Random Forest,Growing degree days,0.0,0.0,200,
2425,paper_informed_nonreactive,Random Forest,Humidity / dew point,0.0,0.0,100,
2425,paper_informed_nonreactive,Random Forest,Rainfall,0.0,0.0,200,
2425,paper_informed_nonreactive,Random Forest,Solar radiation,0.0,0.0,200,
2425,paper_informed_nonreactive,Random Forest,Temperature,0.0,0.0,100,
2425,paper_informed_nonreactive,Ridge,Growing degree days,0.0,0.0,200,
2425,paper_informed_nonreactive,Ridge,Humidity / dew point,0.0,0.0,100,
2425,paper_informed_nonreactive,Ridge,Rainfall,0.0,0.0,200,
2425,paper_informed_nonreactive,Ridge,Solar radiation,0.0,0.0,200,
2425,paper_informed_nonreactive,Ridge,Temperature,0.0,0.0,100,
