task_id,task_label,level,target_mode,model_id,model_label,n_target_windows,same_window_corr,forecast_vs_current_window_corr,forecast_vs_previous_observed_target_corr,same_window_mae_g,forecast_vs_current_window_mae_g,forecast_vs_previous_observed_target_mae_g,direction_accuracy_vs_current,lag_warning,lag_note
plot_delta_current_state,Plot-level delta-to-next · current-state model,plot,delta,persistence,Persistence / no-change baseline,8,0.42178392290118005,0.9999999999999999,0.9999933300111018,688.75,0.0,1.1428571428571428,0.0,True,forecast aligns more with current window than target; forecast is closer to current window than target; forecast aligns more with previous target than target; persistence lag is expected by definition
plot_next_current_state,Plot-level next yield · current-state upper bound,plot,next,persistence,Persistence / no-change baseline,8,0.42178392290118005,0.9999999999999999,0.9999933300111018,688.75,0.0,1.1428571428571428,0.0,True,forecast aligns more with current window than target; forecast is closer to current window than target; forecast aligns more with previous target than target; persistence lag is expected by definition
plot_next_leading,Plot-level next yield · leading indicators,plot,next,persistence,Persistence / no-change baseline,8,0.42178392290118005,0.9999999999999999,0.9999933300111018,688.75,0.0,1.1428571428571428,0.0,True,forecast aligns more with current window than target; forecast is closer to current window than target; forecast aligns more with previous target than target; persistence lag is expected by definition
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,persistence,Persistence / no-change baseline,8,0.4208412536053367,1.0,1.0,689.75,0.0,0.0,0.0,True,forecast aligns more with current window than target; forecast is closer to current window than target; forecast aligns more with previous target than target; persistence lag is expected by definition
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,aggregate,next,persistence,Persistence / no-change baseline,8,0.4208412536053367,1.0,1.0,689.75,0.0,0.0,0.0,True,forecast aligns more with current window than target; forecast is closer to current window than target; forecast aligns more with previous target than target; persistence lag is expected by definition
aggregate_next_leading,Direct aggregate next window · leading indicators,aggregate,next,persistence,Persistence / no-change baseline,8,0.4208412536053367,1.0,1.0,689.75,0.0,0.0,0.0,True,forecast aligns more with current window than target; forecast is closer to current window than target; forecast aligns more with previous target than target; persistence lag is expected by definition
plot_delta_current_state,Plot-level delta-to-next · current-state model,plot,delta,extra_trees,Extra Trees,8,-0.14896337571981394,0.4403828975540379,0.7305958972889695,1978.3475896700663,1912.9019482372692,1247.265678306343,0.5,True,forecast aligns more with current window than target; forecast aligns more with previous target than target
plot_next_leading,Plot-level next yield · leading indicators,plot,next,random_forest,Random Forest,8,-0.2132093758797712,0.1531418130885282,-0.005261187388923643,2162.3995524672328,2088.3177704840737,1596.6236477976843,0.5,True,forecast aligns more with current window than target; forecast aligns more with previous target than target
plot_delta_current_state,Plot-level delta-to-next · current-state model,plot,delta,gradient_boosting,Gradient Boosting,8,0.033566660575256785,0.21529431574466157,0.13462204348781714,2213.5781358345403,2335.8281358345403,2087.5060832489166,0.625,True,forecast aligns more with current window than target; forecast aligns more with previous target than target
plot_next_current_state,Plot-level next yield · current-state upper bound,plot,next,random_forest,Random Forest,8,-0.2683061008170388,0.0776567108780402,-0.05141065149680553,2230.4513472601275,2046.4374871141238,1711.5212287790255,0.5,True,forecast aligns more with current window than target; forecast aligns more with previous target than target
plot_next_current_state,Plot-level next yield · current-state upper bound,plot,next,extra_trees,Extra Trees,8,-0.40094684552414844,0.2120730853622776,0.05405426777938117,2245.2085486719316,2231.6080348783053,1798.0074079215824,0.5,True,forecast aligns more with current window than target; forecast aligns more with previous target than target
plot_next_leading,Plot-level next yield · leading indicators,plot,next,gradient_boosting,Gradient Boosting,8,-0.11930872413293109,0.22032511143752284,0.09015425525057785,2314.8377459489348,2369.898956921174,1798.8183076896328,0.5,True,forecast aligns more with current window than target; forecast aligns more with previous target than target
plot_next_leading,Plot-level next yield · leading indicators,plot,next,extra_trees,Extra Trees,8,-0.4455628339368736,0.10691681994887549,-0.1340994751039821,2374.3062755155024,2366.882476227139,1955.5297412018429,0.5,True,forecast aligns more with current window than target; forecast aligns more with previous target than target
plot_next_current_state,Plot-level next yield · current-state upper bound,plot,next,gradient_boosting,Gradient Boosting,8,-0.2667418376492393,0.1905354894921847,0.03376945429330243,2431.9653017805012,2220.153152208033,1596.7487220526848,0.5,True,forecast aligns more with current window than target; forecast aligns more with previous target than target
plot_delta_current_state,Plot-level delta-to-next · current-state model,plot,delta,random_forest,Random Forest,8,-0.09599846459026352,0.30324262117896184,0.21679170289927888,2473.231005009151,2373.275542521983,1852.0513607896717,0.625,True,forecast aligns more with current window than target; forecast aligns more with previous target than target
plot_delta_current_state,Plot-level delta-to-next · current-state model,plot,delta,elasticnet,ElasticNet regression,8,0.14695212922154902,0.39474772569662037,0.3918135310368217,2867.53802860631,2741.4760962929995,1687.4009295603278,0.625,True,forecast aligns more with current window than target; forecast aligns more with previous target than target
plot_next_current_state,Plot-level next yield · current-state upper bound,plot,next,elasticnet,ElasticNet regression,8,0.16935016776723705,0.40858633837404434,0.4113259015323863,2970.9645848595414,2879.742563907043,1805.9410500174288,0.625,True,forecast aligns more with current window than target; forecast aligns more with previous target than target
plot_delta_current_state,Plot-level delta-to-next · current-state model,plot,delta,ridge,Ridge regression,8,0.20684511441833273,0.3998256584214966,0.387035804960408,3245.701119526068,3220.0806451906974,2085.5119135918726,0.75,True,forecast aligns more with current window than target; forecast aligns more with previous target than target
plot_next_current_state,Plot-level next yield · current-state upper bound,plot,next,ridge,Ridge regression,8,0.2155928263085681,0.40656362472076546,0.3968445984989986,3321.7446733369943,3321.215488943484,2170.477049793448,0.75,True,forecast aligns more with current window than target; forecast aligns more with previous target than target
plot_next_leading,Plot-level next yield · leading indicators,plot,next,elasticnet,ElasticNet regression,8,0.2575552431307215,0.4635133171815725,0.47528405306351973,3465.8973781489435,3509.6462945980384,2397.683406569414,0.75,True,forecast aligns more with current window than target; forecast aligns more with previous target than target
plot_next_leading,Plot-level next yield · leading indicators,plot,next,ridge,Ridge regression,8,0.2785420326028275,0.4495023467384981,0.4493342811569378,3933.2646684929987,3979.3102345695424,2779.4368939972233,0.75,True,forecast aligns more with current window than target; forecast aligns more with previous target than target
