task_id,task_label,level,target_mode,model_id,model_label,n_target_windows,same_window_corr,forecast_vs_previous_observed_corr,forecast_vs_next_observed_corr,same_window_mae_g,forecast_vs_previous_observed_mae_g,turning_point_direction_accuracy,lag_warning,lag_audit_note
plot_delta_current_state,Plot-level delta-to-next · current-state model,plot,delta,persistence,Persistence / no-change baseline,8,0.42178392290118005,0.9999933300111018,0.3992907286531592,688.75,1.1428571428571428,0.0,True,Forecast appears more aligned with the previous observed window than with the target window.
plot_next_current_state,Plot-level next yield · current-state upper bound,plot,next,persistence,Persistence / no-change baseline,8,0.42178392290118005,0.9999933300111018,0.3992907286531592,688.75,1.1428571428571428,0.0,True,Forecast appears more aligned with the previous observed window than with the target window.
plot_next_leading,Plot-level next yield · leading indicators,plot,next,persistence,Persistence / no-change baseline,8,0.42178392290118005,0.9999933300111018,0.3992907286531592,688.75,1.1428571428571428,0.0,True,Forecast appears more aligned with the previous observed window than with the target window.
aggregate_delta_current_state,Direct aggregate delta-to-next · current-state model,aggregate,delta,persistence,Persistence / no-change baseline,8,0.4208412536053367,1.0,0.3988908953988624,689.75,0.0,0.0,True,Forecast appears more aligned with the previous observed window than with the target window.
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,aggregate,next,persistence,Persistence / no-change baseline,8,0.4208412536053367,1.0,0.3988908953988624,689.75,0.0,0.0,True,Forecast appears more aligned with the previous observed window than with the target window.
aggregate_next_leading,Direct aggregate next window · leading indicators,aggregate,next,persistence,Persistence / no-change baseline,8,0.4208412536053367,1.0,0.3988908953988624,689.75,0.0,0.0,True,Forecast appears more aligned with the previous observed window than with the target window.
plot_delta_current_state,Plot-level delta-to-next · current-state model,plot,delta,extra_trees,Extra Trees,8,-0.1489633757198139,0.7305958972889696,-0.16174902600190028,1978.3475896700663,1247.265678306343,0.5,True,Forecast appears more aligned with the previous observed window than with the target window.
plot_next_leading,Plot-level next yield · leading indicators,plot,next,random_forest,Random Forest,8,-0.2132093758797712,-0.005261187388923547,-0.026765220967915244,2162.3995524672328,1596.623647797684,0.5,True,Forecast appears more aligned with the previous observed window than with the target window.
plot_delta_current_state,Plot-level delta-to-next · current-state model,plot,delta,gradient_boosting,Gradient Boosting,8,0.033566660575256806,0.13462204348781714,0.39242256425236255,2213.5781358345403,2087.5060832489166,0.625,True,Forecast appears more aligned with the previous observed window than with the target window.
plot_next_current_state,Plot-level next yield · current-state upper bound,plot,next,random_forest,Random Forest,8,-0.2683061008170388,-0.05141065149680553,0.07728944439774202,2230.4513472601275,1711.5212287790255,0.5,True,Forecast appears more aligned with the previous observed window than with the target window.
plot_next_current_state,Plot-level next yield · current-state upper bound,plot,next,extra_trees,Extra Trees,8,-0.40094684552414844,0.05405426777938111,-0.2817600383544057,2245.2085486719316,1798.0074079215822,0.5,True,Forecast appears more aligned with the previous observed window than with the target window.
plot_next_leading,Plot-level next yield · leading indicators,plot,next,gradient_boosting,Gradient Boosting,8,-0.11930872413293114,0.09015425525057771,0.012834781838380847,2314.8377459489348,1798.8183076896323,0.5,True,Forecast appears more aligned with the previous observed window than with the target window.
plot_next_leading,Plot-level next yield · leading indicators,plot,next,extra_trees,Extra Trees,8,-0.4455628339368737,-0.13409947510398215,-0.32017691702388423,2374.306275515503,1955.5297412018429,0.5,True,Forecast appears more aligned with the previous observed window than with the target window.
plot_next_current_state,Plot-level next yield · current-state upper bound,plot,next,gradient_boosting,Gradient Boosting,8,-0.2667418376492393,0.03376945429330243,-0.05024517722655398,2431.9653017805012,1596.748722052685,0.5,True,Forecast appears more aligned with the previous observed window than with the target window.
plot_delta_current_state,Plot-level delta-to-next · current-state model,plot,delta,random_forest,Random Forest,8,-0.09599846459026352,0.21679170289927888,0.24487622254496538,2473.231005009151,1852.0513607896717,0.625,True,Forecast appears more aligned with the previous observed window than with the target window.
plot_delta_current_state,Plot-level delta-to-next · current-state model,plot,delta,elasticnet,ElasticNet regression,8,0.14695212922154902,0.39181353103682176,-0.18969552247537727,2867.53802860631,1687.4009295603275,0.625,True,Forecast appears more aligned with the previous observed window than with the target window.
plot_next_current_state,Plot-level next yield · current-state upper bound,plot,next,elasticnet,ElasticNet regression,8,0.1693501677672371,0.4113259015323863,-0.1487995092124939,2970.964584859541,1805.941050017429,0.625,True,Forecast appears more aligned with the previous observed window than with the target window.
