model_id,model_label,feature_family,mean_importance,n_features_in_block,share_of_model_importance_pct
M1,Calendar + nitrogen RF,calendar / lead time,0.5292149412129844,2,81.80642665924451
M1,Calendar + nitrogen RF,nitrogen treatment,0.11769626469675393,1,18.193573340755474
M2,+ weather / GDD RF,weather / thermal time,0.5177142375328339,6,75.65614181855103
M2,+ weather / GDD RF,nitrogen treatment,0.1052336597802871,1,15.378315122959357
M2,+ weather / GDD RF,calendar / lead time,0.061351123346017736,2,8.965543058489601
M3,+ leading crop indicators RF,weather / thermal time,0.23548004138457554,6,28.5297552148404
M3,+ leading crop indicators RF,fruit size sample,0.2256779678907244,3,27.3421778909485
M3,+ leading crop indicators RF,fruit load,0.16226763211840023,2,19.659652666992322
M3,+ leading crop indicators RF,current dry matter state,0.08974103955650463,1,10.872640739395127
M3,+ leading crop indicators RF,nitrogen treatment,0.058205325619612204,1,7.051908443550948
M3,+ leading crop indicators RF,calendar / lead time,0.028456976697482955,2,3.4477256525010334
M3,+ leading crop indicators RF,dry matter trajectory,0.02555503987386342,1,3.0961393917716777
M4,Compact crop/weather RF,current fresh matter state,0.311865221441571,1,35.57417950898585
M4,Compact crop/weather RF,weather / thermal time,0.2032934932625014,6,23.189502147433164
M4,Compact crop/weather RF,fruit size sample,0.11751465965334706,3,13.40478934496636
M4,Compact crop/weather RF,fruit load,0.06835297409665526,2,7.796961005294535
M4,Compact crop/weather RF,fresh matter trajectory,0.04607587058362624,1,5.255832258557287
M4,Compact crop/weather RF,nitrogen treatment,0.04111275298910223,1,4.689693990828444
M4,Compact crop/weather RF,calendar / lead time,0.03435699218899263,2,3.919070558334238
M4,Compact crop/weather RF,current dry matter state,0.03302444704550061,1,3.76706835712921
M4,Compact crop/weather RF,dry matter trajectory,0.021065329771396874,1,2.4029028284709057
M5,Compact crop/weather + tagged-fruit RF,current fresh matter state,0.3086133256085676,1,35.0972100507288
M5,Compact crop/weather + tagged-fruit RF,weather / thermal time,0.1698972229780245,6,19.321649543605105
M5,Compact crop/weather + tagged-fruit RF,fruit size sample,0.11245365885487899,3,12.788850507410222
M5,Compact crop/weather + tagged-fruit RF,tagged fruit development,0.0642753168625503,5,7.309743649447428
M5,Compact crop/weather + tagged-fruit RF,fruit load,0.06421546480961383,2,7.302936943775417
M5,Compact crop/weather + tagged-fruit RF,fresh matter trajectory,0.04218003396892356,1,4.796946176043824
M5,Compact crop/weather + tagged-fruit RF,nitrogen treatment,0.04022995449637911,1,4.575172379567141
M5,Compact crop/weather + tagged-fruit RF,calendar / lead time,0.029938214982021094,2,3.4047389810399675
M5,Compact crop/weather + tagged-fruit RF,current dry matter state,0.029254728402316865,1,3.327009116305742
M5,Compact crop/weather + tagged-fruit RF,dry matter trajectory,0.018252215547586853,1,2.0757426520763613
M6,Full raw RF reference,fruit size sample,0.36251894883734115,36,38.916867334263735
M6,Full raw RF reference,current fresh matter state,0.12942666650263504,1,13.894116227450072
M6,Full raw RF reference,fresh matter trajectory,0.12405844874009106,4,13.317831265915274
M6,Full raw RF reference,weather / thermal time,0.12184703439149668,11,13.08043314065493
M6,Full raw RF reference,fruit load,0.05589620440860295,5,6.000528188761045
M6,Full raw RF reference,dry matter trajectory,0.053649391859896325,4,5.759330021979954
M6,Full raw RF reference,other,0.03049717943500413,12,3.2739107567969437
M6,Full raw RF reference,nitrogen treatment,0.022826198793098346,1,2.4504212897713162
M6,Full raw RF reference,calendar / lead time,0.015476486645304894,5,1.6614204016300393
M6,Full raw RF reference,current dry matter state,0.01532484400723442,1,1.6451413727766968
