model_id,model_label,feature,human_name,feature_family,mean_importance,share_of_model_importance_pct
M1,Calendar + nitrogen RF,origin_day_of_year,Forecast day of year,calendar / lead time,0.4321299511352347,66.79895898967138
M1,Calendar + nitrogen RF,nitrogen_treatment,Nitrogen treatment category,nitrogen treatment,0.11769626469675393,18.193573340755474
M1,Calendar + nitrogen RF,forecast_horizon_days,Forecast lead time,calendar / lead time,0.09708499007774969,15.007467669573138
M2,+ weather / GDD RF,tmean_7d,Tmean 7d,weather / thermal time,0.13612652647474585,19.892842509642122
M2,+ weather / GDD RF,gdd_base_10,Gdd base 10,weather / thermal time,0.10601152971458465,15.491989103312024
M2,+ weather / GDD RF,nitrogen_treatment,Nitrogen treatment category,nitrogen treatment,0.1052336597802871,15.378315122959359
M2,+ weather / GDD RF,rhmean_7d,Rhmean 7d,weather / thermal time,0.09656429260146715,14.111417623899762
M2,+ weather / GDD RF,solar_radiation_7d,Solar radiation 7d,weather / thermal time,0.08769051777669662,12.814649024666192
M2,+ weather / GDD RF,cumulative_solar_radiation,Cumulative solar radiation,weather / thermal time,0.05318207055945562,7.771758975809867
M2,+ weather / GDD RF,origin_day_of_year,Forecast day of year,calendar / lead time,0.04777467277836516,6.98154919648242
M2,+ weather / GDD RF,cumulative_gdd_base_10,Cumulative gdd base 10,weather / thermal time,0.03813930040588395,5.573484581221082
M2,+ weather / GDD RF,forecast_horizon_days,Forecast lead time,calendar / lead time,0.013576450567652575,1.9839938620071829
M3,+ leading crop indicators RF,current_fruit_number,Current fruit count,fruit load,0.13597098792281992,16.473663665714685
M3,+ leading crop indicators RF,mean_individual_fruit_fresh_weight_g,Mean individual fruit weight,fruit size sample,0.09610269707051297,11.643391969810004
M3,+ leading crop indicators RF,current_dry_matter_g,Current dry matter,current dry matter state,0.08974103955650463,10.872640739395127
M3,+ leading crop indicators RF,sample_length_mm_median,Median sample fruit length,fruit size sample,0.08663933934613506,10.496852000649564
M3,+ leading crop indicators RF,gdd_base_10,Gdd base 10,weather / thermal time,0.06925951746882433,8.391187074986433
M3,+ leading crop indicators RF,nitrogen_treatment,Nitrogen treatment category,nitrogen treatment,0.058205325619612204,7.051908443550948
M3,+ leading crop indicators RF,solar_radiation_7d,Solar radiation 7d,weather / thermal time,0.05526814220674908,6.696051856736354
M3,+ leading crop indicators RF,mean_fruit_diameter_mm,Mean fruit diameter,fruit size sample,0.04293593147407636,5.201933920488928
M3,+ leading crop indicators RF,rhmean_7d,Rhmean 7d,weather / thermal time,0.042717507329001383,5.1754705847626425
M3,+ leading crop indicators RF,tmean_7d,Tmean 7d,weather / thermal time,0.037684966945638776,4.565749504360543
M3,+ leading crop indicators RF,fruit_number_trend,Fruit-count trend,fruit load,0.026296644195580317,3.1859890012776355
M3,+ leading crop indicators RF,dry_matter_trend_g,Dry-matter trend,dry matter trajectory,0.02555503987386342,3.0961393917716777
M3,+ leading crop indicators RF,origin_day_of_year,Forecast day of year,calendar / lead time,0.01763268079494792,2.1363002312357877
M3,+ leading crop indicators RF,cumulative_solar_radiation,Cumulative solar radiation,weather / thermal time,0.016914543479044353,2.0492937838404828
M3,+ leading crop indicators RF,cumulative_gdd_base_10,Cumulative gdd base 10,weather / thermal time,0.013635363955317616,1.6520024101539454
M3,+ leading crop indicators RF,forecast_horizon_days,Forecast lead time,calendar / lead time,0.010824295902535036,1.3114254212652459
M4,Compact crop/weather RF,current_fresh_matter_g,Current fresh matter,current fresh matter state,0.311865221441571,35.57417950898585
