target_date,forecast_total_g,observed_total_g,n_treatments,mean_abs_error_g,previous_observed_total_g,forecast_change_vs_previous_observed_g,forecast_change_vs_previous_observed_pct,forecast_lower_g,forecast_upper_g,outside_mae_band,underpredicted_peak,operational_flag,preferred_model_id,preferred_model_label,model_mae_reference_g
2023-08-01,56.45046979632798,29.119999999999997,2,16.542506579621413,,,,30.053957985042057,82.8469816076139,True,False,first window,M3,+ leading crop indicators RF,18.66515250143107
2023-08-04,98.77926008379598,43.2,3,18.52642002793199,29.119999999999997,69.65926008379597,239.21449204600268,66.45026762029605,131.1082525472959,True,False,Production flush risk,M3,+ leading crop indicators RF,18.66515250143107
2023-08-07,71.0481454269886,84.81,3,7.612504287147664,43.2,27.848145426988594,64.46329959951063,38.71915296348867,103.37713789048853,False,False,Production flush risk,M3,+ leading crop indicators RF,18.66515250143107
2023-08-11,104.1740591163786,221.0,4,29.20648522090535,84.81,19.3640591163786,22.832282886898476,66.84375411351647,141.50436411924073,True,True,Production flush risk,M3,+ leading crop indicators RF,18.66515250143107
2023-08-13,173.12322097168234,239.9,4,22.75587708552218,221.0,-47.87677902831766,-21.663700917790795,135.7929159688202,210.45352597454448,True,True,Supply drop risk,M3,+ leading crop indicators RF,18.66515250143107
2023-08-17,223.21625988151644,282.56,4,17.302588007425097,239.9,-16.68374011848357,-6.954456072731793,185.8859548786543,260.5465648843786,True,True,Stable window,M3,+ leading crop indicators RF,18.66515250143107
2023-08-21,256.8284832960027,282.67,4,7.8903268455605495,282.56,-25.73151670399733,-9.10656734994243,219.49817829314054,294.1587882988648,False,False,Stable window,M3,+ leading crop indicators RF,18.66515250143107
2023-08-24,251.964493949387,118.71,4,33.313623487346746,282.67,-30.705506050613025,-10.86266885435774,214.63418894652486,289.29479895224915,True,False,Stable window,M3,+ leading crop indicators RF,18.66515250143107
2023-08-27,143.434895087492,168.82,4,8.341496095772715,118.71,24.724895087492015,20.82798002484375,106.10459008462988,180.76520009035414,False,False,Production flush risk,M3,+ leading crop indicators RF,18.66515250143107
2023-08-31,193.40386647458124,185.05,4,8.07563571700171,168.82,24.583866474581242,14.562176563547709,156.0735614717191,230.73417147744337,False,False,Stable window,M3,+ leading crop indicators RF,18.66515250143107
2023-09-05,160.05778404421613,172.86,4,23.39062335666958,185.05,-24.992215955783877,-13.505655744817009,122.727479041354,197.38808904707827,False,False,Stable window,M3,+ leading crop indicators RF,18.66515250143107
2023-09-09,154.83736081682105,67.7,4,23.422977963052347,172.86,-18.022639183178967,-10.426147855593523,117.50705581395891,192.16766581968318,True,False,Stable window,M3,+ leading crop indicators RF,18.66515250143107
2023-09-13,204.48868924895737,94.82,4,27.417172312239344,67.7,136.78868924895738,202.05123965872582,167.15838424609524,241.8189942518195,True,False,Production flush risk,M3,+ leading crop indicators RF,18.66515250143107
2023-09-17,207.6681068414926,62.07,4,36.39952671037315,94.82,112.84810684149261,119.01297916208881,170.33780183863047,244.99841184435473,True,False,Production flush risk,M3,+ leading crop indicators RF,18.66515250143107
2023-09-21,128.44531016266956,91.1,4,9.33632754066739,62.07,66.37531016266956,106.93621743623258,91.11500515980742,165.7756151655317,True,False,Production flush risk,M3,+ leading crop indicators RF,18.66515250143107
2023-09-24,101.13336460500891,64.94,4,9.048341151252227,91.1,10.033364605008913,11.013572563127237,63.80305960214677,138.46366960787105,False,False,Stable window,M3,+ leading crop indicators RF,18.66515250143107
2023-09-28,151.61036952511284,135.23,4,14.865992002988298,64.94,86.67036952511285,133.46222593950236,114.28006452225071,188.94067452797498,False,False,Production flush risk,M3,+ leading crop indicators RF,18.66515250143107
