cluster_id,n_features,representative_feature,representative_human_name,feature_family_summary,features,human_names,selection_note
4,12,dry_matter_recent_mean_g,Recent dry-matter average,dry matter trajectory; fresh matter trajectory; fruit load,dry_matter_recent_mean_g; rolling_mean_3_dry_matter_g; fresh_matter_recent_mean_g; rolling_mean_3_fresh_matter_g; fruit_number_recent_mean; rolling_mean_3_fruit_number; previous_fruit_number; rolling_mean_2_fruit_number; rolling_mean_2_fresh_matter_g; rolling_mean_2_dry_matter_g; previous_fresh_matter_g; previous_dry_matter_g,Recent dry-matter average; 3-observation dry-matter average; Recent fresh-matter average; 3-observation fresh-matter average; Recent fruit-count average; 3-observation fruit-count average; Previous fruit count; 2-observation fruit-count average; 2-observation fresh-matter average; 2-observation dry-matter average; Previous fresh matter; Previous dry matter,High-correlation cluster. Keep one representative unless there is a strong agronomic reason to keep more.
3,11,current_fresh_matter_g,Current fresh matter,current dry matter state; current fresh matter state; fruit load; fruit size sample; other,current_fresh_matter_g; current_dry_matter_g; n_fruit_size_samples; sample_condition_code_n_records; sample_diameter_mm_n_non_missing; sample_diameter_mm_n_records; sample_individual_fruit_fresh_weight_g_n_non_missing; sample_individual_fruit_fresh_weight_g_n_records; sample_length_mm_n_records; script07_n_fruit_size_samples; current_fruit_number,Current fresh matter; Current dry matter; Number of fruit-size samples; Sample condition code n records; Sample diameter mm n non missing; Sample diameter mm n records; Sample individual fruit fresh weight g n non missing; Sample individual fruit fresh weight g n records; Sample length mm n records; Script07 n fruit size samples; Current fruit count,High-correlation cluster. Keep one representative unless there is a strong agronomic reason to keep more.
6,10,fruit_tagged_diameter_mm_median_pct_change_since_previous_date,Tagged diameter mm median pct change since previous date,tagged fruit development,fruit_tagged_diameter_mm_median_pct_change_since_previous_date; fruit_tagged_diameter_mm_mean_pct_change_since_previous_date; tagged_fruit_diameter_trend_mm; fruit_tagged_length_mm_mean_pct_change_since_previous_date; fruit_tagged_diameter_mm_mean_change_since_previous_date; fruit_tagged_length_mm_median_pct_change_since_previous_date; fruit_tagged_diameter_mm_median_change_since_previous_date; tagged_fruit_length_trend_mm; fruit_tagged_length_mm_mean_change_since_previous_date; fruit_tagged_length_mm_median_change_since_previous_date,Tagged diameter mm median pct change since previous date; Tagged diameter mm mean pct change since previous date; Tagged-fruit diameter trend; Tagged length mm mean pct change since previous date; Tagged diameter mm mean change since previous date; Tagged length mm median pct change since previous date; Tagged diameter mm median change since previous date; Tagged-fruit length trend; Tagged length mm mean change since previous date; Tagged length mm median change since previous date,High-correlation cluster. Keep one representative unless there is a strong agronomic reason to keep more.
13,9,mean_individual_fruit_fresh_weight_g,Mean individual fruit weight,fruit size sample,mean_individual_fruit_fresh_weight_g; sample_individual_fruit_fresh_weight_g_mean; sample_individual_fruit_fresh_weight_g_median; mean_fruit_length_mm; sample_length_mm_mean; sample_length_mm_median; mean_fruit_diameter_mm; sample_diameter_mm_mean; sample_diameter_mm_median,Mean individual fruit weight; Mean sample individual fruit weight; Median sample individual fruit weight; Mean fruit length; Mean sample fruit length; Median sample fruit length; Mean fruit diameter; Mean sample fruit diameter; Median sample fruit diameter,High-correlation cluster. Keep one representative unless there is a strong agronomic reason to keep more.
5,8,fruit_tagged_diameter_mm_median,Tagged diameter mm median,fruit size sample; tagged fruit development,fruit_tagged_diameter_mm_median; tagged_fruit_diameter_current_mm; fruit_tagged_diameter_mm_mean; mean_tagged_fruit_diameter_mm; fruit_tagged_length_mm_median; tagged_fruit_length_current_mm; fruit_tagged_length_mm_mean; mean_tagged_fruit_length_mm,Tagged diameter mm median; Tagged-fruit diameter; Tagged diameter mm mean; Mean tagged fruit diameter mm; Tagged length mm median; Tagged-fruit length; Tagged length mm mean; Mean tagged fruit length mm,High-correlation cluster. Keep one representative unless there is a strong agronomic reason to keep more.
2,7,cumulative_solar_radiation,Cumulative solar radiation,calendar / lead time; other; weather / thermal time,cumulative_solar_radiation; cumulative_gdd_base_10; origin_month; days_since_weather_start; day_of_year; origin_day_of_year; origin_week_of_year,Cumulative solar radiation; Cumulative gdd base 10; Forecast month; Days since weather start; Day of year; Forecast day of year; Forecast week of year,High-correlation cluster. Keep one representative unless there is a strong agronomic reason to keep more.
1,6,fruit_number_trend,Fruit-count trend since previous observation,dry matter trajectory; fresh matter trajectory; fruit load,fruit_number_trend; change_fruit_number; fresh_matter_trend_g; change_fresh_matter_g; dry_matter_trend_g; change_dry_matter_g,Fruit-count trend since previous observation; Fruit-count change since previous observation; Fresh-matter trend since previous observation; Fresh-matter change since previous observation; Dry-matter trend since previous observation; Dry-matter change since previous observation,High-correlation cluster. Keep one representative unless there is a strong agronomic reason to keep more.
16,6,sample_individual_fruit_fresh_weight_g_max,Sample individual fruit fresh weight g max,fruit size sample,sample_individual_fruit_fresh_weight_g_max; sample_individual_fruit_fresh_weight_g_p90; sample_diameter_mm_max; sample_diameter_mm_p90; sample_length_mm_p90; sample_length_mm_max,Sample individual fruit fresh weight g max; Sample individual fruit fresh weight g p90; Sample diameter mm max; Sample diameter mm p90; Sample length mm p90; Sample length mm max,High-correlation cluster. Keep one representative unless there is a strong agronomic reason to keep more.
17,6,sample_length_mm_p10,Sample length mm p10,fruit size sample,sample_length_mm_p10; sample_individual_fruit_fresh_weight_g_p10; sample_diameter_mm_p10; sample_length_mm_min; sample_diameter_mm_min; sample_individual_fruit_fresh_weight_g_min,Sample length mm p10; Sample individual fruit fresh weight g p10; Sample diameter mm p10; Sample length mm min; Sample diameter mm min; Sample individual fruit fresh weight g min,High-correlation cluster. Keep one representative unless there is a strong agronomic reason to keep more.
8,4,fruit_tagged_diameter_mm_n_non_missing,Tagged diameter mm n non missing,fruit size sample; tagged fruit development,fruit_tagged_diameter_mm_n_non_missing; n_tagged_fruit_diameter_mm_observations; fruit_tagged_length_mm_n_non_missing; n_tagged_fruit_length_mm_observations,Tagged diameter mm n non missing; N tagged fruit diameter mm observations; Tagged length mm n non missing; N tagged fruit length mm observations,High-correlation cluster. Keep one representative unless there is a strong agronomic reason to keep more.
14,4,sample_condition_code_std,Sample condition code std,other,sample_condition_code_std; sample_condition_code_mean; sample_condition_code_max; sample_condition_code_p90,Sample condition code std; Sample condition code mean; Sample condition code max; Sample condition code p90,High-correlation cluster. Keep one representative unless there is a strong agronomic reason to keep more.
