feature,human_name,feature_family,dtype,n_rows,missing_share,missing_share_2022,missing_share_2023,n_unique,feature_kind,mean,median,std,p10,p25,p50_median,p75,p90,iqr,skewness,abs_skewness,outlier_share_iqr_rule,mean_median_relative_gap,spearman_corr_with_target,abs_spearman_corr_with_target,n_corr_with_target,spearman_corr_with_target_2022,spearman_corr_with_target_2023,abs_year_to_year_corr_gap,n_corr_with_target_2022,n_corr_with_target_2023,target_association_metric,category_target_means_json,selected_for_default_compact_model,selected_for_optional_tagged_model,mean_median_selected_representative,recommended_action,recommendation_reason,redundancy_cluster_representative
forecast_horizon_days,Forecast lead time,calendar / lead time,float64,143,0.0,0.0,0.0,8,numeric,4.006993006993007,4.0,1.5359380466182042,3.0,3.0,4.0,4.0,5.799999999999997,1.0,2.637269735621608,2.637269735621608,0.1048951048951049,0.0017452006980801925,0.12051073268521083,0.12051073268521083,143,0.12721682928583272,0.07608187715733666,0.05113495212849606,79.0,64.0,spearman_rho,,True,False,,keep_default_compact,The lead time affects forecast difficulty.,
origin_day_of_year,Forecast day of year,calendar / lead time,int32,143,0.0,0.0,0.0,36,numeric,246.3146853146853,248.0,23.61469451225906,216.0,225.0,248.0,264.0,280.0,39.0,0.22718694905796177,0.22718694905796177,0.0,0.006842120205547546,0.016634523670071878,0.016634523670071878,143,0.08467817659761266,-0.30751104939638196,0.39218922599399464,79.0,64.0,spearman_rho,,True,False,,keep_default_compact,Day-of-season gives a compact seasonal timing signal.,cumulative_solar_radiation
current_dry_matter_g,Current dry matter,current dry matter state,float64,143,0.06993006993006994,0.05063291139240506,0.09375,126,numeric,5.432406015037594,4.73,3.59282537388561,1.21,2.89,4.73,7.35,11.256,4.459999999999999,0.7351578536323522,0.7351578536323522,0.013986013986013986,0.12929924845330848,0.44138129799083387,0.44138129799083387,133,0.39520046667175635,0.41372627512396093,0.018525808452204584,75.0,58.0,spearman_rho,,True,False,,keep_default_compact,Dry matter is a crop-status signal distinct from fresh matter.,current_fresh_matter_g
current_fresh_matter_g,Current fresh matter,current fresh matter state,float64,143,0.06293706293706294,0.06329113924050633,0.0625,133,numeric,46.29135820895522,39.84,34.58783587262904,10.028,20.825,39.84,59.6,93.00200000000001,38.775000000000006,1.3361322429078806,1.3361322429078806,0.04195804195804196,0.13936420227365842,0.5283408230547091,0.5283408230547091,134,0.5196445760829321,0.4476784573063991,0.07196611877653303,74.0,60.0,spearman_rho,,True,False,,keep_default_compact,Current fresh matter anchors near-term production level.,current_fresh_matter_g
dry_matter_trend_g,Dry-matter trend since previous observation,dry matter trajectory,float64,143,0.14685314685314685,0.13924050632911392,0.15625,120,numeric,-0.013032786885245864,0.1499999999999998,3.845571433715502,-4.883,-2.2399999999999998,0.1499999999999998,2.2174999999999994,4.282000000000003,4.4575,-0.16866747789364608,0.16866747789364608,0.04195804195804196,12.50943396226417,0.08235741193621068,0.08235741193621068,122,0.10949831563574185,0.06922182623376937,0.04027648940197248,68.0,54.0,spearman_rho,,True,False,,keep_default_compact,Dry-matter trend captures recent development without multiple redundant rolling averages.,fruit_number_trend
fresh_matter_trend_g,Fresh-matter trend since previous observation,fresh matter trajectory,float64,143,0.13286713286713286,0.13924050632911392,0.125,124,numeric,-0.46540322580645216,0.7149999999999999,33.4373201079077,-38.944,-15.760000000000002,0.7149999999999999,17.223999999999997,34.751000000000005,32.983999999999995,-0.14330263495259082,0.14330263495259082,0.06293706293706294,2.536302200658463,0.10199543980412282,0.10199543980412282,124,0.13486277054624574,0.09699413866998308,0.03786863187626266,68.0,56.0,spearman_rho,,True,False,,keep_default_compact,Fresh-matter trend captures acceleration or decline without retaining several redundant lag/rolling columns.,fruit_number_trend
current_fruit_number,Current fruit count,fruit load,int64,143,0.0,0.0,0.0,19,numeric,5.65034965034965,5.0,4.233100187903346,1.0,2.0,5.0,8.0,12.0,6.0,0.9437539307549768,0.9437539307549768,0.006993006993006993,0.11509900990099003,0.4942410517938732,0.4942410517938732,143,0.4990964024292109,0.3781231865673145,0.12097321586189641,79.0,64.0,spearman_rho,,True,False,,keep_default_compact,Current fruit count is a leading crop-load signal.,current_fresh_matter_g
fruit_number_trend,Fruit-count trend since previous observation,fruit load,float64,143,0.027972027972027972,0.05063291139240506,0.0,21,numeric,0.08633093525179857,0.0,3.8268350990335986,-5.0,-2.0,0.0,2.0,4.0,4.0,-0.004133039940570197,0.004133039940570197,0.03496503496503497,1.0,0.11440462434366025,0.11440462434366025,139,0.09689077448911464,0.15654612601649867,0.059655351527384035,75.0,64.0,spearman_rho,,True,False,,keep_default_compact,Fruit-count trend captures rising/falling crop load without multiple redundant rolling averages.,fruit_number_trend
mean_fruit_diameter_mm,Mean fruit diameter,fruit size sample,float64,143,0.4825174825174825,0.06329113924050633,1.0,74,numeric,23.524858889726147,23.78714285714286,2.634028088450147,19.960955357142858,21.809062500000003,23.78714285714286,25.589444444444446,26.526442307692307,3.780381944444443,-0.48418549794882415,0.48418549794882415,0.0,0.01114922595906662,0.2619326175490559,0.2619326175490559,74,0.2619326175490559,,,74.0,0.0,spearman_rho,,True,False,,keep_default_compact,One diameter summary chosen after mean-vs-median and missingness audit.,mean_individual_fruit_fresh_weight_g
mean_individual_fruit_fresh_weight_g,Mean individual fruit weight,fruit size sample,float64,143,0.4825174825174825,0.06329113924050633,1.0,74,numeric,7.418176407297343,7.3194285714285705,2.0242996004964913,4.93,6.0460714285714285,7.3194285714285705,9.126249999999999,9.894,3.0801785714285703,-0.2298674363941871,0.2298674363941871,0.0,0.013311605231123033,0.3701592002961865,0.3701592002961865,74,0.3701592002961865,,,74.0,0.0,spearman_rho,,True,False,,keep_default_compact,One individual-fruit-weight summary chosen after mean-vs-median and missingness audit.,mean_individual_fruit_fresh_weight_g
sample_length_mm_median,Median sample fruit length,fruit size sample,float64,143,0.6083916083916084,0.2911392405063291,1.0,56,numeric,27.065714285714282,27.4425,3.452111004821599,22.935000000000002,25.04875,27.4425,29.3425,30.497500000000002,4.293750000000003,-0.6702738148897452,0.6702738148897452,0.013986013986013986,0.013921144304866554,0.38400546821599457,0.38400546821599457,56,0.38400546821599457,,,56.0,0.0,spearman_rho,,True,False,sample_length_mm_median,keep_default_compact,One length summary chosen after mean-vs-median and missingness audit. This feature is the selected mean/median representative for its measurement.,mean_individual_fruit_fresh_weight_g
nitrogen_treatment,Nitrogen treatment category,nitrogen treatment,str,143,0.0,0.0,0.0,4,categorical,,,,,,,,,,,,,,,0.26079918662040574,143,,,,,,eta_squared_category_vs_target,"{""0N"": 16.342, ""100N"": 66.045, ""150N"": 48.335, ""50N"": 43.677}",True,False,,keep_default_compact,Use nitrogen only as a categorical treatment group; treatment_n_level is dropped to avoid duplicate encoding.,
