check,status,value,detail
forecast_rows,PASS,143.0,Rows available for next-observation forecasting.
unique_year_treatment_origin,PASS,0.0,Each year/treatment/current date should appear once.
target_missing_share,PASS,0.0,Share of missing next fresh matter targets after filtering.
forecast_horizon_days_min,PASS,2.0,Minimum number of days between current observation and target date.
forecast_horizon_days_max,PASS,11.0,Maximum number of days between current observation and target date.
missing_share_current_fruit_number,PASS,0.0,Share of missing values in current_fruit_number.
missing_share_current_fresh_matter_g,PASS,0.063,Share of missing values in current_fresh_matter_g.
missing_share_current_dry_matter_g,PASS,0.07,Share of missing values in current_dry_matter_g.
missing_share_cumulative_gdd_base_10,PASS,0.0,Share of missing values in cumulative_gdd_base_10.
missing_share_cumulative_solar_radiation,PASS,0.0,Share of missing values in cumulative_solar_radiation.
missing_share_tmean_7d,PASS,0.0,Share of missing values in tmean_7d.
missing_share_solar_radiation_7d,PASS,0.0,Share of missing values in solar_radiation_7d.
