forecast_task,year,nitrogen_treatment,treatment_n_level,current_observation_date,target_date,forecast_horizon_days,next_fresh_matter_g,next_fruit_number,next_dry_matter_g,current_fruit_number,current_fresh_matter_g,current_dry_matter_g,previous_fruit_number,previous_fresh_matter_g,previous_dry_matter_g,change_fruit_number,change_fresh_matter_g,change_dry_matter_g,rolling_mean_2_fruit_number,rolling_mean_3_fruit_number,rolling_mean_2_fresh_matter_g,rolling_mean_3_fresh_matter_g,rolling_mean_2_dry_matter_g,rolling_mean_3_dry_matter_g,days_since_previous_observation,day_of_year,days_since_weather_start,tmax_c,tmin_c,tmean_c,rhmean_pct,solar_radiation,gdd_base_10,cumulative_gdd_base_10,cumulative_solar_radiation,tmean_7d,solar_radiation_7d,rhmean_7d,n_fruit_size_samples,mean_fruit_diameter_mm,mean_fruit_length_mm,mean_individual_fruit_fresh_weight_g,mean_tagged_fruit_diameter_mm,n_tagged_fruit_diameter_mm_observations,mean_tagged_fruit_length_mm,n_tagged_fruit_length_mm_observations,mean_tagged_fruit_fresh_matter_g,n_tagged_fruit_fresh_matter_g_observations,mean_tagged_fruit_lifespan,n_tagged_fruit_lifespan_observations
next_observation_fresh_matter,2022,0N,0.0,2022-07-29,2022-08-02,4.0,5.15,1.0,0.77,2,17.33,2.28,,,,,,,,,,,,,,210,66,27.88,18.7,22.81434782608696,53.41304347826087,5.395860230630623,12.814347826086959,981.2273913043476,378.16374223058756,23.117763975155277,4.974990816564348,58.00248447204969,2.0,24.915,,8.665,16.3485,20.0,,,,,,
next_observation_fresh_matter,2022,0N,0.0,2022-08-02,2022-08-05,3.0,30.3,5.0,5.09,1,5.15,0.77,2.0,17.33,2.28,-1.0,-12.179999999999998,-1.5099999999999998,2.0,2.0,17.33,17.33,2.28,2.28,4.0,214,70,36.68,19.83,27.59608695652174,58.36521739130435,6.053534178088547,17.59608695652174,1045.349565217391,402.54779842007315,24.795279503105593,6.0077799098373585,54.911180124223606,1.0,21.76,,5.15,20.262,20.0,,,,,,
next_observation_fresh_matter,2022,0N,0.0,2022-08-05,2022-08-09,4.0,18.12,3.0,1.91,5,30.3,5.09,1.0,5.15,0.77,4.0,25.15,4.32,1.5,1.5,11.239999999999998,11.239999999999998,1.525,1.525,3.0,217,73,36.09,20.92,27.381304347826084,53.90434782608696,6.744214067147518,17.381304347826084,1095.1086956521738,422.91979904160905,26.268757763975156,6.393722401574483,54.608074534161496,5.0,23.462,,6.0600000000000005,18.377000000000002,20.0,,,,,,
next_observation_fresh_matter,2022,0N,0.0,2022-08-09,2022-08-12,3.0,27.67,4.0,3.7,3,18.12,1.91,5.0,30.3,5.09,-2.0,-12.18,-3.1799999999999997,3.0,2.6666666666666665,17.725,17.593333333333334,2.9299999999999997,2.7133333333333334,4.0,221,77,31.459259259259262,19.3,24.82053615178308,56.34241957447045,4.582218052902368,14.820536151783081,1147.75409572896,437.55397639918965,24.62921864450987,5.000882568445202,61.49864145182439,3.0,23.05,,6.039999999999999,14.334,20.0,,,,,,
next_observation_fresh_matter,2022,0N,0.0,2022-08-12,2022-08-16,4.0,28.48,4.0,3.84,4,27.67,3.7,3.0,18.12,1.91,1.0,9.55,1.7900000000000003,4.0,3.0,24.21,17.85666666666667,3.5,2.5900000000000003,3.0,224,80,24.045283018867924,19.31111111111111,21.371025020036026,65.67866296777969,2.7323161799344318,11.371025020036026,1189.502879481137,449.24724225836576,23.4848834041376,3.761063316679518,63.6503189930658,4.0,25.34,,6.9175,17.138125,16.0,,,,,,
next_observation_fresh_matter,2022,0N,0.0,2022-08-16,2022-08-22,6.0,8.46,1.0,1.2,4,28.48,3.84,4.0,27.67,3.7,0.0,0.8099999999999987,0.13999999999999968,3.5,4.0,22.895000000000003,25.363333333333333,2.805,3.5666666666666664,4.0,228,84,29.721818181818183,20.08333333333333,23.65550788166046,64.77202451090065,4.700710084021808,13.655507881660458,1237.5989139300834,465.6955745100937,22.834974028731917,4.02022830155772,63.58295452452003,4.0,27.1925,25.525,7.12,16.843,20.0,19.6275,20.0,,,,
next_observation_fresh_matter,2022,0N,0.0,2022-08-22,2022-08-30,8.0,21.26,5.0,4.28,1,8.46,1.2,4.0,28.48,3.84,-3.0,-20.02,-2.6399999999999997,4.0,3.6666666666666665,28.075000000000003,24.75666666666667,3.77,3.15,6.0,234,90,29.92962962962964,18.8,23.96182260118273,56.922250450913296,4.218211517964024,13.961822601182732,1314.7430536370327,486.23792972160925,22.971378226944264,3.6061521850767604,67.50592878849646,1.0,25.65,29.99,8.46,,,,,,,,
next_observation_fresh_matter,2022,0N,0.0,2022-08-30,2022-09-06,7.0,4.93,1.0,0.64,5,21.26,4.28,1.0,8.46,1.2,4.0,12.8,3.08,2.5,3.0,18.47,21.536666666666665,2.52,2.9133333333333336,8.0,242,98,29.07818181818181,18.98703703703704,23.48486997400861,51.38737528415133,4.527398603451437,13.48486997400861,1423.648834328516,515.8829741558179,23.438053675899805,3.6609194502946707,67.009606195906,5.0,20.106,21.316,4.252,19.311875,16.0,22.43375,16.0,,,,
next_observation_fresh_matter,2022,0N,0.0,2022-09-06,2022-09-09,3.0,2.56,1.0,0.29,1,4.93,0.64,5.0,21.26,4.28,-4.0,-16.330000000000002,-3.64,3.0,3.3333333333333335,14.860000000000001,19.400000000000002,2.74,3.106666666666667,7.0,249,105,29.892592592592592,19.401818181818182,24.11200887739854,63.22805511657851,5.693127228337097,14.11200887739854,1523.7797840537073,549.5631289427068,24.304421389313056,4.811450683841289,56.92362014487786,1.0,21.37,22.75,4.93,14.6675,20.0,17.674500000000002,20.0,,,,
next_observation_fresh_matter,2022,0N,0.0,2022-09-09,2022-09-13,4.0,4.86,2.0,0.38,1,2.56,0.29,1.0,4.93,0.64,0.0,-2.3699999999999997,-0.35000000000000003,3.0,2.3333333333333335,13.095,11.550000000000002,2.46,2.04,3.0,252,108,24.48518518518518,18.74150943396226,20.975001659386404,73.3875283003995,1.3013056358307786,10.975001659386404,1567.1690471512272,557.63561434552,23.289204577362902,4.133109919995365,61.2526489885537,1.0,18.5,17.14,2.56,16.901875,16.0,19.264666666666667,15.0,,,,
