model,model_label,nitrogen_treatment,n_rows,mae,rmse,bias,r2
baseline_persistence,Persistence baseline,0N,17,12.677596425912137,18.0732819043098,2.5140670141474315,-0.4080270947894875
baseline_persistence,Persistence baseline,100N,16,28.866196202531647,35.77488871554456,-1.355053797468354,-0.712533302169722
baseline_persistence,Persistence baseline,150N,14,18.817795660036165,25.121678364879877,0.6763670886075955,0.05089943252010165
baseline_persistence,Persistence baseline,50N,17,21.961125837676846,27.513425008982313,2.1858317200297845,-0.35257818224789883
baseline_treatment_mean,Treatment mean baseline,0N,17,11.732536764705882,15.94873054212563,-4.730257352941175,-0.09645094910655927
baseline_treatment_mean,Treatment mean baseline,100N,16,35.70467045454546,42.485405985273005,32.52185227272727,-1.4152494283210113
baseline_treatment_mean,Treatment mean baseline,150N,14,21.471714285714285,25.87809621778895,2.1752857142857165,-0.007116190187175686
baseline_treatment_mean,Treatment mean baseline,50N,17,23.221568627450985,27.354176219534132,13.732717086834738,-0.3369659437464543
crop_development_rf,Crop development random forest,0N,17,13.589771948907325,17.376269167724086,4.820331944479138,-0.30151757651806443
crop_development_rf,Crop development random forest,100N,16,26.253288129378674,31.149591839133542,11.345333767903423,-0.2983361915536411
crop_development_rf,Crop development random forest,150N,14,20.153857825618243,24.830097214698824,8.588900776870844,0.07280352710022242
crop_development_rf,Crop development random forest,50N,17,24.230311830473283,29.88930083313177,14.790102021720159,-0.5962634746814213
crop_development_ridge,Crop development linear model,0N,17,31.555651861445593,35.17168682641158,13.980146470434917,-4.332407880970987
crop_development_ridge,Crop development linear model,100N,16,37.46654369900115,43.16102279267503,8.837008954273958,-1.4926763773529617
crop_development_ridge,Crop development linear model,150N,14,39.682584222441776,47.74819857429927,15.766054738429089,-2.4286954707244384
crop_development_ridge,Crop development linear model,50N,17,34.62932559566795,40.0741541761358,9.70980389029806,-1.869470692051856
weather_gdd_ridge,Weather + GDD linear model,0N,17,25.786281228698886,33.290769156349,21.604498390648555,-3.7773232182048293
weather_gdd_ridge,Weather + GDD linear model,100N,16,29.742207007860003,34.95268274772998,18.92033527753666,-0.6347203641434198
weather_gdd_ridge,Weather + GDD linear model,150N,14,38.79651340393303,45.18147935738567,34.49900832642514,-2.069981967582843
weather_gdd_ridge,Weather + GDD linear model,50N,17,26.565635751979805,32.6323593027076,16.465300059426937,-0.9026986600159139
