feature_layer,join_key,feature,missing_share_in_forecast_rows,available_years,note
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_diameter_mm_n_records,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_diameter_mm_n_non_missing,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_diameter_mm_mean,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_diameter_mm_median,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_diameter_mm_std,0.5174825174825175,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_diameter_mm_min,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_diameter_mm_max,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_diameter_mm_p10,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_diameter_mm_p90,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_length_mm_n_records,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_length_mm_n_non_missing,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_length_mm_mean,0.6083916083916084,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_length_mm_median,0.6083916083916084,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_length_mm_std,0.6363636363636364,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_length_mm_min,0.6083916083916084,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_length_mm_max,0.6083916083916084,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_length_mm_p10,0.6083916083916084,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_length_mm_p90,0.6083916083916084,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_individual_fruit_fresh_weight_g_n_records,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_individual_fruit_fresh_weight_g_n_non_missing,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_individual_fruit_fresh_weight_g_mean,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_individual_fruit_fresh_weight_g_median,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_individual_fruit_fresh_weight_g_std,0.5174825174825175,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_individual_fruit_fresh_weight_g_min,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_individual_fruit_fresh_weight_g_max,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_individual_fruit_fresh_weight_g_p10,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_individual_fruit_fresh_weight_g_p90,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_condition_code_n_records,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_condition_code_n_non_missing,0.4825174825174825,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_condition_code_mean,0.6363636363636364,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_condition_code_median,0.6363636363636364,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_condition_code_std,0.6643356643356644,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_condition_code_min,0.6363636363636364,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_condition_code_max,0.6363636363636364,2022,Treatment-specific but currently appears limited to 2022 files.
treatment_specific_fruit_size_weight,year + current_observation_date + nitrogen_treatment,sample_condition_code_p10,0.6363636363636364,2022,Treatment-specific but currently appears limited to 2022 files.
