year,date,nitrogen_treatment,sample_diameter_mm_n_records,sample_diameter_mm_n_non_missing,sample_diameter_mm_mean,sample_diameter_mm_median,sample_diameter_mm_std,sample_diameter_mm_min,sample_diameter_mm_max,sample_diameter_mm_p10,sample_diameter_mm_p90,sample_length_mm_n_records,sample_length_mm_n_non_missing,sample_length_mm_mean,sample_length_mm_median,sample_length_mm_std,sample_length_mm_min,sample_length_mm_max,sample_length_mm_p10,sample_length_mm_p90,sample_individual_fruit_fresh_weight_g_n_records,sample_individual_fruit_fresh_weight_g_n_non_missing,sample_individual_fruit_fresh_weight_g_mean,sample_individual_fruit_fresh_weight_g_median,sample_individual_fruit_fresh_weight_g_std,sample_individual_fruit_fresh_weight_g_min,sample_individual_fruit_fresh_weight_g_max,sample_individual_fruit_fresh_weight_g_p10,sample_individual_fruit_fresh_weight_g_p90,sample_condition_code_n_records,sample_condition_code_n_non_missing,sample_condition_code_mean,sample_condition_code_median,sample_condition_code_std,sample_condition_code_min,sample_condition_code_max,sample_condition_code_p10,sample_condition_code_p90,n_fruit_size_samples
2022,2022-07-29,0N,2,2,24.915,24.915,3.344615075012369,22.55,27.28,23.023,26.807000000000002,2,0,,,,,,,,2,2,8.665,8.665,1.647558800164655,7.5,9.83,7.733,9.597,2,0,,,,,,,,2
2022,2022-07-29,100N,6,6,24.798333333333332,24.68,2.8335590106201525,20.25,28.82,22.125,27.59,6,0,,,,,,,,6,6,10.588333333333333,9.805,3.0731379185885337,6.97,15.49,7.890000000000001,14.07,6,0,,,,,,,,6
2022,2022-07-29,150N,4,4,25.8,25.235,1.877178734164651,24.22,28.51,24.46,27.592000000000002,4,0,,,,,,,,4,4,11.2825,10.89,1.6596661310837997,9.72,13.63,10.059000000000001,12.82,4,0,,,,,,,,4
2022,2022-07-29,50N,5,5,25.832,26.18,1.1167452708652954,23.9,26.7,24.716,26.596,5,0,,,,,,,,5,5,9.536,8.89,1.7713356542451237,7.57,11.88,7.942,11.464,5,0,,,,,,,,5
2022,2022-08-02,0N,1,1,21.76,21.76,,21.76,21.76,21.76,21.76,1,0,,,,,,,,1,1,5.15,5.15,,5.15,5.15,5.15,5.15,1,0,,,,,,,,1
2022,2022-08-02,100N,11,11,24.69545454545454,25.19,3.228558079503492,18.79,28.66,19.4,27.91,11,0,,,,,,,,11,11,8.33,8.2,2.80627154780146,4.05,13.66,4.52,11.67,11,0,,,,,,,,11
2022,2022-08-02,150N,4,4,24.535,25.14,2.365664106898242,21.28,26.58,22.198,26.387999999999998,4,0,,,,,,,,4,4,8.3375,8.355,2.1643224497903883,6.06,10.58,6.332999999999999,10.328,4,0,,,,,,,,4
2022,2022-08-02,50N,5,5,24.954,24.92,0.8324241707206722,24.01,25.79,24.110000000000003,25.79,5,0,,,,,,,,5,5,7.892,8.32,1.4663457982345096,5.71,9.42,6.306,9.176,5,0,,,,,,,,5
2022,2022-08-05,0N,5,5,23.462,23.95,2.4921617122490254,20.17,26.72,20.902,25.82,5,0,,,,,,,,5,5,6.0600000000000005,6.26,1.681323883134954,3.71,7.9,4.282,7.656000000000001,5,0,,,,,,,,5
2022,2022-08-05,100N,4,4,26.1875,28.045,3.9765678249800622,20.23,28.43,22.546,28.343,4,0,,,,,,,,4,4,7.842499999999999,8.67,2.84123652658486,3.76,10.27,5.119,9.904,4,0,,,,,,,,4
