date,sample_diameter_mm,sample_length_mm,sample_individual_fruit_fresh_weight_g,sample_condition_code,year,nitrogen_treatment,source_file
2022-07-29,27.28,,9.83,,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-07-29,22.55,,7.5,,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-02,21.76,,5.15,,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-05,23.95,,7.29,,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-05,24.47,,6.26,,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-05,26.72,,7.9,,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-05,22.0,,5.14,,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-05,20.17,,3.71,,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-09,25.9,,8.26,,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-09,22.6,,5.85,,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-09,20.65,,4.01,,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-12,26.17,,6.88,,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-12,25.33,,6.05,,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-12,24.76,,7.45,,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-12,25.1,,7.29,,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-16,29.8,32.17,10.42,,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-16,26.77,25.9,7.39,,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-16,26.97,21.99,5.71,,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-16,25.23,22.04,4.96,,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-22,25.65,29.99,8.46,1.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-30,21.83,23.12,4.56,1.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-30,24.87,27.11,6.68,5.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-30,22.31,24.12,5.28,5.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-30,17.89,17.55,2.86,3.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-08-30,13.63,14.68,1.88,5.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-09-06,21.37,22.75,4.93,1.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-09-09,18.5,17.14,2.56,1.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-09-13,20.6,18.67,3.47,3.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-09-13,13.45,12.95,1.39,4.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-09-23,15.0,18.19,2.22,3.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-09-30,18.06,22.1,4.27,1.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-10-11,17.85,21.84,4.41,1.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-10-11,15.75,18.64,2.78,1.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-10-11,15.56,22.07,2.79,3.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-10-14,17.26,17.63,2.65,3.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-10-18,17.97,24.3,4.14,1.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-11-01,14.48,16.39,2.05,3.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-11-01,25.44,33.02,9.84,1.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-11-01,21.41,29.91,7.59,1.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-11-01,24.56,33.3,9.93,1.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-11-01,21.15,29.36,7.22,1.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-11-01,20.16,24.62,5.05,1.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-11-01,18.38,25.93,5.76,1.0,2022,0N,data_size_freshWeight_condition_2022_0N.csv
2022-07-29,28.82,,15.49,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-07-29,24.98,,10.66,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-07-29,26.36,,12.65,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-07-29,24.38,,8.95,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-07-29,24.0,,8.81,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-07-29,20.25,,6.97,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-02,28.66,,13.66,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-02,26.58,,9.25,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-02,26.13,,8.05,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-02,23.74,,8.2,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-02,23.92,,9.05,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-02,27.91,,11.67,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-02,27.4,,9.26,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-02,25.19,,7.33,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-02,23.93,,6.59,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-02,18.79,,4.52,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-02,19.4,,4.05,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-05,28.43,,10.27,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-05,27.95,,9.05,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-05,28.14,,8.29,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-05,20.23,,3.76,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-09,29.18,,9.74,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-09,27.95,,7.53,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-09,23.8,,4.41,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-12,32.18,,14.19,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-12,23.55,,6.34,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-12,25.93,,8.47,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-12,21.6,,4.88,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-12,23.22,,5.95,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-12,14.7,,1.24,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-16,29.55,30.3,11.54,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-16,24.67,32.13,8.45,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-16,27.64,34.85,10.97,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-16,25.82,29.22,8.76,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-16,29.24,33.77,11.52,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-16,28.36,32.74,10.74,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-16,25.53,27.03,7.39,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-16,25.91,27.28,8.31,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-16,27.24,32.12,9.7,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-16,25.73,27.15,7.32,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-16,23.64,31.65,8.06,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-16,25.42,26.9,7.96,,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-22,30.03,33.75,12.91,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-22,27.85,37.97,11.69,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-22,23.69,25.29,5.69,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-22,27.47,30.12,9.88,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-22,28.5,29.7,10.46,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-22,28.0,27.37,9.29,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-22,27.266,28.88,8.63,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-22,17.71,23.64,3.22,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-30,27.77,34.36,11.8,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-30,28.64,31.97,10.96,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-30,26.77,32.86,10.21,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-30,25.96,31.23,9.11,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-30,20.74,23.11,4.89,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-30,23.29,27.92,6.18,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-30,21.84,24.77,5.97,5.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-30,28.71,35.36,12.8,5.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-30,22.47,33.9,8.29,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-30,23.43,25.94,6.06,5.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-30,26.18,31.27,9.56,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-30,25.42,28.02,8.51,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-30,23.61,30.48,6.48,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-30,22.45,22.72,5.8,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-30,22.62,25.01,5.57,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-08-30,14.77,20.74,2.57,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-06,26.69,34.7,11.42,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-06,24.92,30.11,8.9,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-06,26.52,30.0,9.29,4.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-06,22.36,33.34,9.84,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-06,25.91,29.6,8.13,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-06,24.78,36.18,10.2,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-06,26.46,31.14,10.26,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-06,22.59,25.89,7.5,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-06,21.38,29.65,7.95,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-06,22.88,25.56,6.95,5.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-06,24.22,23.69,7.14,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-06,29.62,25.58,9.84,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-06,27.8,24.68,9.72,4.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-06,19.5,23.08,4.34,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-06,25.0,24.99,6.79,4.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-06,22.95,23.91,5.51,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-06,17.29,21.37,3.84,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-09,34.77,36.16,18.28,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-09,33.61,34.42,15.31,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-09,28.83,35.9,11.84,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-09,24.06,25.96,6.23,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-09,18.03,28.03,4.41,5.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-09,17.97,15.6,2.28,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-09,14.58,15.87,1.51,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-13,31.81,33.33,14.19,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-13,26.08,33.51,11.72,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-13,26.43,27.39,8.54,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-13,27.5,28.62,9.84,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-13,30.52,32.31,14.41,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-13,26.82,39.48,14.81,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-13,25.52,31.09,9.62,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-13,27.6,35.38,13.89,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-13,28.78,32.22,12.34,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-13,25.71,29.77,9.88,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-13,26.34,27.41,10.15,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-13,23.69,27.8,7.65,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-13,25.5,29.15,10.13,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-13,20.74,21.09,5.25,4.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-13,22.03,20.03,4.56,4.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-13,24.16,16.94,5.44,4.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-13,20.0,16.51,3.59,4.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-16,27.94,30.32,10.36,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-16,26.82,33.84,12.88,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-16,30.6,34.52,14.33,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-16,28.88,31.35,11.37,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-16,28.13,29.2,12.31,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-16,25.08,26.69,8.33,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-16,30.52,31.1,12.76,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-16,25.93,23.32,6.19,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-16,21.54,26.12,5.93,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-16,23.25,34.29,9.87,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-16,23.93,34.04,10.79,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-16,25.64,27.34,8.27,5.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-16,24.17,22.26,6.96,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-16,26.69,24.22,9.77,4.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-16,21.13,24.74,6.15,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-20,29.31,35.54,15.34,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-20,26.8,30.85,10.9,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-20,28.68,34.68,12.72,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-20,26.91,29.59,11.44,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-20,21.86,28.63,8.22,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-20,27.19,30.41,12.09,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-20,29.43,29.75,12.79,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-20,26.41,31.52,11.95,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-20,27.35,32.7,11.29,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-20,27.91,27.12,9.48,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-20,25.19,30.12,9.13,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-20,26.64,29.26,10.57,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-20,17.86,31.0,6.08,4.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-20,22.56,27.61,7.71,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-20,25.5,27.61,9.87,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-20,15.96,14.53,2.5,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-20,23.73,27.73,8.22,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-20,20.52,23.31,5.89,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-20,19.96,21.78,5.16,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-23,18.7,27.95,6.34,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-23,24.2,30.54,8.4,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-23,22.17,26.05,6.23,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-23,24.13,25.22,6.59,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-23,18.78,27.53,5.38,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-23,25.89,24.97,6.79,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-23,24.97,28.24,9.7,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-23,21.73,26.71,5.89,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-23,18.17,25.95,4.27,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-23,20.25,26.1,4.8,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-23,17.89,23.65,4.63,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-27,27.57,31.09,12.65,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-27,26.17,35.07,10.88,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-27,22.16,27.52,6.77,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-27,22.44,30.83,9.21,5.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-27,22.54,30.68,7.59,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-27,21.43,27.84,6.29,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-27,22.53,27.47,7.37,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-27,18.56,27.26,4.85,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-09-27,20.9,25.95,5.61,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
