year,sample_id,nitrogen_treatment,plant_biomass_g
2022,1.0,0N,5.43
2022,2.0,0N,3.58
2022,3.0,0N,6.72
2022,4.0,0N,6.2
2022,5.0,0N,3.05
2022,6.0,0N,3.71
2022,7.0,0N,3.25
2022,8.0,0N,8.18
2022,9.0,0N,6.8
2022,10.0,0N,6.69
2022,11.0,0N,
2022,12.0,0N,
2022,13.0,0N,
2022,14.0,0N,
2022,15.0,0N,
2022,16.0,0N,
2022,17.0,0N,
2022,18.0,0N,
2022,19.0,0N,
2022,20.0,0N,
2022,1.0,50N,22.04
2022,2.0,50N,25.3
2022,3.0,50N,20.56
2022,4.0,50N,23.54
2022,5.0,50N,17.33
2022,6.0,50N,18.6
2022,7.0,50N,18.45
2022,8.0,50N,14.11
2022,9.0,50N,15.69
2022,10.0,50N,21.6
2022,11.0,50N,
2022,12.0,50N,
2022,13.0,50N,
2022,14.0,50N,
2022,15.0,50N,
2022,16.0,50N,
2022,17.0,50N,
2022,18.0,50N,
2022,19.0,50N,
2022,20.0,50N,
2022,1.0,100N,25.41
2022,2.0,100N,19.54
2022,3.0,100N,25.22
2022,4.0,100N,16.23
2022,5.0,100N,22.7
2022,6.0,100N,23.59
2022,7.0,100N,17.7
2022,8.0,100N,18.07
2022,9.0,100N,27.13
2022,10.0,100N,26.65
2022,11.0,100N,18.72
2022,12.0,100N,21.89
2022,13.0,100N,20.83
2022,14.0,100N,17.82
2022,15.0,100N,36.18
2022,16.0,100N,29.5
2022,17.0,100N,20.84
2022,18.0,100N,17.27
2022,19.0,100N,
2022,20.0,100N,
2022,1.0,150N,23.88
2022,2.0,150N,37.44
2022,3.0,150N,30.13
2022,4.0,150N,23.85
2022,5.0,150N,30.34
2022,6.0,150N,36.03
2022,7.0,150N,32.12
2022,8.0,150N,30.94
2022,9.0,150N,25.56
2022,10.0,150N,
2022,11.0,150N,
2022,12.0,150N,
2022,13.0,150N,
2022,14.0,150N,
2022,15.0,150N,
2022,16.0,150N,
2022,17.0,150N,
2022,18.0,150N,
2022,19.0,150N,
2022,20.0,150N,
2023,1.0,0N,4.17
2023,2.0,0N,5.37
2023,3.0,0N,4.37
2023,4.0,0N,4.78
2023,5.0,0N,6.24
2023,6.0,0N,7.4
2023,7.0,0N,7.71
2023,8.0,0N,4.7
2023,9.0,0N,3.89
2023,10.0,0N,4.37
2023,11.0,0N,4.85
2023,12.0,0N,5.17
2023,13.0,0N,3.91
2023,14.0,0N,5.48
2023,15.0,0N,4.01
2023,,0N,
2023,,0N,
2023,,0N,
2023,,0N,
2023,,0N,
2023,1.0,50N,7.22
2023,2.0,50N,9.43
2023,3.0,50N,10.34
2023,4.0,50N,5.98
2023,5.0,50N,9.09
2023,6.0,50N,7.27
2023,7.0,50N,8.66
2023,8.0,50N,8.25
2023,9.0,50N,8.17
2023,10.0,50N,10.62
2023,11.0,50N,11.32
2023,12.0,50N,6.38
2023,13.0,50N,11.69
2023,14.0,50N,8.51
2023,15.0,50N,9.65
2023,,50N,
2023,,50N,
2023,,50N,
2023,,50N,
2023,,50N,
2023,1.0,100N,9.33
2023,2.0,100N,11.04
2023,3.0,100N,10.86
2023,4.0,100N,8.97
2023,5.0,100N,11.17
2023,6.0,100N,11.8
2023,7.0,100N,8.16
2023,8.0,100N,7.73
2023,9.0,100N,14.28
2023,10.0,100N,12.82
2023,11.0,100N,8.42
2023,12.0,100N,10.28
2023,13.0,100N,8.68
2023,14.0,100N,10.05
2023,15.0,100N,10.65
2023,,100N,
2023,,100N,
2023,,100N,
2023,,100N,
2023,,100N,
2023,1.0,150N,15.95
2023,2.0,150N,9.09
2023,3.0,150N,10.96
2023,4.0,150N,11.0
2023,5.0,150N,11.23
2023,6.0,150N,11.32
2023,7.0,150N,10.59
2023,8.0,150N,16.24
2023,9.0,150N,7.44
2023,10.0,150N,10.91
2023,11.0,150N,14.62
2023,12.0,150N,8.64
2023,13.0,150N,11.31
2023,14.0,150N,8.25
2023,15.0,150N,10.83
2023,,150N,
2023,,150N,
2023,,150N,
2023,,150N,
2023,,150N,
