feature_order,feature,human_name,feature_family,model_role,included_in_default_compact,included_in_tagged_optional,missing_share,missing_share_2022,missing_share_2023,abs_target_association,target_association_metric,skewness,outlier_share_iqr_rule,rationale
1,nitrogen_treatment,Nitrogen treatment category,nitrogen treatment,management_group,True,False,0.0,0.0,0.0,0.26079918662040574,eta_squared_category_vs_target,,,Use nitrogen only as a categorical treatment group; treatment_n_level is dropped to avoid duplicate encoding.
2,forecast_horizon_days,Forecast lead time,calendar / lead time,forecast_lead_time,True,False,0.0,0.0,0.0,0.12051073268521083,spearman_rho,2.637269735621608,0.1048951048951049,The lead time affects forecast difficulty.
3,origin_day_of_year,Forecast day of year,calendar / lead time,season_timing,True,False,0.0,0.0,0.0,0.016634523670071878,spearman_rho,0.22718694905796177,0.0,Day-of-season gives a compact seasonal timing signal.
4,tmean_7d,Tmean 7d,weather / thermal time,recent_temperature,True,False,0.0,0.0,0.0,0.062183837136222365,spearman_rho,-0.050889548392242176,0.013986013986013986,Recent mean temperature is kept as one compact short-term temperature signal.
5,gdd_base_10,Gdd base 10,weather / thermal time,recent_thermal_time,True,False,0.0,0.0,0.0,0.15583214165852005,spearman_rho,0.23111726223608212,0.0,Daily/recent GDD captures short-term heat accumulation at the forecast origin.
6,cumulative_gdd_base_10,Cumulative gdd base 10,weather / thermal time,season_thermal_time,True,False,0.0,0.0,0.0,0.02939133071310671,spearman_rho,0.16513115634182782,0.0,Cumulative GDD captures crop-development stage during the season.
7,solar_radiation_7d,Solar radiation 7d,weather / thermal time,recent_solar_radiation,True,False,0.0,0.0,0.0,0.016180729101991777,spearman_rho,1.0810363169059714,0.08391608391608392,Recent solar radiation is a plausible berry growth/development signal.
8,cumulative_solar_radiation,Cumulative solar radiation,weather / thermal time,season_solar_radiation,True,False,0.0,0.0,0.0,0.08018728442197269,spearman_rho,0.4602118239251406,0.0,Cumulative radiation captures seasonal energy exposure.
9,rhmean_7d,Rhmean 7d,weather / thermal time,recent_humidity,True,False,0.0,0.0,0.0,0.18121677654426563,spearman_rho,-1.2672236589198376,0.11188811188811189,Humidity is kept as one recent summary rather than multiple highly related RH columns.
10,current_fruit_number,Current fruit count,fruit load,current_fruit_load,True,False,0.0,0.0,0.0,0.4942410517938732,spearman_rho,0.9437539307549768,0.006993006993006993,Current fruit count is a leading crop-load signal.
11,fruit_number_trend,Fruit-count trend since previous observation,fruit load,fruit_load_trend,True,False,0.027972027972027972,0.05063291139240506,0.0,0.11440462434366025,spearman_rho,-0.004133039940570197,0.03496503496503497,Fruit-count trend captures rising/falling crop load without multiple redundant rolling averages.
12,current_dry_matter_g,Current dry matter,current dry matter state,current_dry_matter,True,False,0.06993006993006994,0.05063291139240506,0.09375,0.44138129799083387,spearman_rho,0.7351578536323522,0.013986013986013986,Dry matter is a crop-status signal distinct from fresh matter.
13,dry_matter_trend_g,Dry-matter trend since previous observation,dry matter trajectory,dry_matter_trend,True,False,0.14685314685314685,0.13924050632911392,0.15625,0.08235741193621068,spearman_rho,-0.16866747789364608,0.04195804195804196,Dry-matter trend captures recent development without multiple redundant rolling averages.
14,mean_fruit_diameter_mm,Mean fruit diameter,fruit size sample,fruit_diameter,True,False,0.4825174825174825,0.06329113924050633,1.0,0.2619326175490559,spearman_rho,-0.48418549794882415,0.0,One diameter summary chosen after mean-vs-median and missingness audit.
15,sample_length_mm_median,Median sample fruit length,fruit size sample,fruit_length,True,False,0.6083916083916084,0.2911392405063291,1.0,0.38400546821599457,spearman_rho,-0.6702738148897452,0.013986013986013986,One length summary chosen after mean-vs-median and missingness audit.
16,mean_individual_fruit_fresh_weight_g,Mean individual fruit weight,fruit size sample,individual_fruit_weight,True,False,0.4825174825174825,0.06329113924050633,1.0,0.3701592002961865,spearman_rho,-0.2298674363941871,0.0,One individual-fruit-weight summary chosen after mean-vs-median and missingness audit.
17,current_fresh_matter_g,Current fresh matter,current fresh matter state,current_production_state,True,False,0.06293706293706294,0.06329113924050633,0.0625,0.5283408230547091,spearman_rho,1.3361322429078806,0.04195804195804196,Current fresh matter anchors near-term production level.
18,fresh_matter_trend_g,Fresh-matter trend since previous observation,fresh matter trajectory,recent_production_trend,True,False,0.13286713286713286,0.13924050632911392,0.125,0.10199543980412282,spearman_rho,-0.14330263495259082,0.06293706293706294,Fresh-matter trend captures acceleration or decline without retaining several redundant lag/rolling columns.
19,tagged_fruit_diameter_current_mm,Tagged-fruit diameter,tagged fruit development,tagged_diameter,False,True,0.027972027972027972,0.05063291139240506,0.0,0.09109673543117439,spearman_rho,0.2948027865267188,0.0,"Optional tagged-fruit feature. It is tested separately because it is date-level, not treatment-specific."
20,tagged_fruit_length_current_mm,Tagged-fruit length,tagged fruit development,tagged_length,False,True,0.16083916083916083,0.2911392405063291,0.0,0.09059659271407819,spearman_rho,0.6952463632044248,0.027972027972027972,"Optional tagged-fruit feature. It is tested separately because it is date-level, not treatment-specific."
21,tagged_fruit_diameter_trend_mm,Tagged-fruit diameter trend,tagged fruit development,tagged_diameter_trend,False,True,0.027972027972027972,0.05063291139240506,0.0,0.047303967354469095,spearman_rho,-0.7141057741874158,0.0,"Optional tagged-fruit feature. It is tested separately because it is date-level, not treatment-specific."
22,tagged_fruit_length_trend_mm,Tagged-fruit length trend,tagged fruit development,tagged_length_trend,False,True,0.1888111888111888,0.34177215189873417,0.0,0.1234872887764806,spearman_rho,-0.9705688327288425,0.027972027972027972,"Optional tagged-fruit feature. It is tested separately because it is date-level, not treatment-specific."
23,tagged_fruit_n_observed,Tagged fruits observed,tagged fruit development,tagged_n_observed,False,True,,,,,,,,"Optional tagged-fruit feature. It is tested separately because it is date-level, not treatment-specific."
