year,date,tagged_diameter_mm_n_records,tagged_diameter_mm_n_non_missing,tagged_diameter_mm_mean,tagged_diameter_mm_median,tagged_diameter_mm_std,tagged_diameter_mm_min,tagged_diameter_mm_max,tagged_diameter_mm_p10,tagged_diameter_mm_p90,tagged_fresh_matter_g_n_records,tagged_fresh_matter_g_n_non_missing,tagged_fresh_matter_g_mean,tagged_fresh_matter_g_median,tagged_fresh_matter_g_std,tagged_fresh_matter_g_min,tagged_fresh_matter_g_max,tagged_fresh_matter_g_p10,tagged_fresh_matter_g_p90,tagged_length_mm_n_records,tagged_length_mm_n_non_missing,tagged_length_mm_mean,tagged_length_mm_median,tagged_length_mm_std,tagged_length_mm_min,tagged_length_mm_max,tagged_length_mm_p10,tagged_length_mm_p90,tagged_lifespan_code_n_records,tagged_lifespan_code_n_non_missing,tagged_lifespan_code_mean,tagged_lifespan_code_median,tagged_lifespan_code_std,tagged_lifespan_code_min,tagged_lifespan_code_max,tagged_lifespan_code_p10,tagged_lifespan_code_p90,tagged_diameter_mm_mean_change_since_previous_date,tagged_diameter_mm_mean_pct_change_since_previous_date,tagged_diameter_mm_median_change_since_previous_date,tagged_diameter_mm_median_pct_change_since_previous_date,tagged_length_mm_mean_change_since_previous_date,tagged_length_mm_mean_pct_change_since_previous_date,tagged_length_mm_median_change_since_previous_date,tagged_length_mm_median_pct_change_since_previous_date,tagged_fresh_matter_g_mean_change_since_previous_date,tagged_fresh_matter_g_mean_pct_change_since_previous_date,tagged_lifespan_code_mean_change_since_previous_date,tagged_lifespan_code_mean_pct_change_since_previous_date
2022,2022-07-22,20,20,10.433,10.35,1.775408329608179,7.79,13.84,8.04,12.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2022-07-26,20,20,13.550999999999998,13.245000000000001,3.249741528183434,9.08,20.4,9.512,16.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1179999999999986,29.885938847886507,2.8950000000000014,27.971014492753632,,,,,,,,
2022,2022-07-29,20,20,16.3485,17.06,4.288378757575065,9.43,23.26,11.17,21.705000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.797500000000003,20.64423289794113,3.8149999999999977,28.803322008305,,,,,,,,
2022,2022-08-02,20,20,20.262,20.47,3.0344800994048735,15.36,25.8,16.649,24.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.913499999999999,23.937975961097347,3.41,19.988276670574457,,,,,,,,
2022,2022-08-05,20,20,18.377000000000002,21.1,6.156802057801385,7.87,28.27,9.646,23.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.884999999999998,-9.30312900996939,0.6300000000000026,3.0776746458231585,,,,,,,,
2022,2022-08-09,20,20,14.334,11.865,6.932422983420201,4.07,26.75,8.165,25.301000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.043000000000003,-22.000326495075374,-9.235000000000001,-43.76777251184835,,,,,,,,
2022,2022-08-12,20,16,17.138125,16.14,5.600257397358327,11.08,27.47,11.36,24.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.804124999999999,19.562752895214164,4.275,36.03034134007586,,,,,,,,
2022,2022-08-16,20,20,16.843,16.6,5.123185789289605,9.56,29.49,11.142,23.508000000000006,,,,,,,,,,20.0,20.0,19.6275,19.13,5.132007789098574,10.93,31.64,13.829,25.657000000000004,,,,,,,,,,-0.29512499999999875,-1.722037854199332,0.46000000000000085,2.850061957868655,,,,,,,,
2022,2022-08-19,20,20,17.198,17.935,4.742127659273009,8.29,27.29,10.67,21.962000000000003,,,,,,,,,,20.0,20.0,20.0435,20.439999999999998,5.283270792147407,8.18,29.28,13.635,25.584000000000003,,,,,,,,,,0.3550000000000004,2.1077005284094286,1.3349999999999973,8.042168674698779,0.41600000000000037,2.119475226085843,1.3099999999999987,6.847882906429681,,,,
2022,2022-08-23,20,20,17.177,17.965,5.0853309161072096,7.81,24.87,10.131,22.856,,,,,,,,,,20.0,20.0,20.198,21.83,5.799378006576041,8.73,30.71,11.876000000000001,26.752,,,,,,,,,,-0.021000000000000796,-0.12210722176997368,0.030000000000001137,0.16727069974911135,0.15449999999999875,0.7708234589767216,1.3900000000000006,6.800391389432492,,,,
2022,2022-08-30,20,16,19.311875,19.47,4.531696104477146,11.19,27.6,13.605,24.04,,,,,,,,,,20.0,16.0,22.43375,23.744999999999997,5.291866557904372,11.25,33.74,16.73,26.68,,,,,,,,,,2.134875000000001,12.428683704954313,1.504999999999999,8.377400500974108,2.2357499999999995,11.069165263887504,1.9149999999999991,8.772331653687582,,,,
2022,2022-09-06,20,20,14.6675,14.715,5.577031727965768,5.26,25.26,7.702999999999999,21.232,,,,,,,,,,20.0,20.0,17.674500000000002,16.75,6.65749081466647,4.01,30.67,11.424,25.663,,,,,,,,,,-4.644375,-24.04932198453025,-4.754999999999999,-24.422187981510014,-4.759249999999998,-21.214687691536184,-6.994999999999997,-29.458833438618647,,,,
2022,2022-09-09,20,16,16.901875,17.055,6.808296134129302,4.13,28.51,8.475,25.64,,,,,,,,,,20.0,15.0,19.264666666666667,17.78,9.28896493285498,4.35,33.64,8.746,32.224,,,,,,,,,,2.234375,15.233509459689799,2.34,15.902140672782883,1.590166666666665,8.99695418069346,1.0300000000000011,6.149253731343296,,,,
2022,2022-09-13,20,19,16.41842105263158,15.69,8.094122190521201,3.95,32.45,6.544,26.65,,,,,,,,,,20.0,19.0,19.102105263157895,19.38,9.956950436167899,3.37,36.04,7.562000000000001,33.714,,,,,,,,,,-0.48345394736842096,-2.8603568974946314,-1.3650000000000002,-8.003518029903256,-0.16256140350877146,-0.8438319038763797,1.5999999999999979,8.99887514060742,,,,
2022,2022-09-16,20,20,12.727500000000001,11.114999999999998,6.466986506378703,4.5,26.3,5.697,20.784000000000006,,,,,,,,,,20.0,20.0,14.857,14.3,7.2501877289669645,3.49,28.17,4.873,24.301000000000002,,,,,,,,,,-3.6909210526315785,-22.480365443179995,-4.575000000000001,-29.15869980879542,-4.245105263157896,-22.22323249021878,-5.079999999999998,-26.212590299277593,,,,
2022,2022-09-20,20,17,16.907647058823528,16.15,6.157274690774082,6.47,29.13,9.398,24.142,,,,,,,,,,20.0,17.0,19.748823529411766,19.81,6.348047812470522,7.76,31.12,13.642,28.118000000000002,,,,,,,,,,4.180147058823527,32.843426115289944,5.035,45.299145299145316,4.8918235294117665,32.926051890770445,5.509999999999998,38.53146853146852,,,,
2022,2022-09-23,20,19,13.993157894736843,13.16,5.869514510144372,6.73,24.8,7.392,21.536,,,,,,,,,,20.0,19.0,17.335263157894737,15.97,6.263569596768863,7.98,28.14,10.45,26.0,,,,,,,,,,-2.9144891640866852,-17.237698148931447,-2.9899999999999984,-18.51393188854489,-2.413560371517029,-12.221286842340417,-3.839999999999998,-19.384149419485098,,,,
2022,2022-09-27,20,18,15.468333333333334,14.780000000000001,6.786881160176074,4.48,29.29,7.175,23.408,,,,,,,,,,20.0,18.0,18.620555555555555,18.52,7.89693199713156,3.98,30.99,8.677000000000001,28.316000000000003,,,,,,,,,,1.4751754385964908,10.542119582251974,1.620000000000001,12.310030395136785,1.2852923976608182,7.414322966741227,2.549999999999999,15.967438948027546,,,,
2022,2022-09-30,20,19,12.998947368421051,11.18,5.166605262793014,6.71,24.92,7.158,19.469999999999995,,,,,,,,,,20.0,19.0,16.718947368421052,15.31,6.753239465238427,7.06,31.74,9.018,25.279999999999998,,,,,,,,,,-2.4693859649122825,-15.964137258348988,-3.6000000000000014,-24.357239512855223,-1.901608187134503,-10.212413810430842,-3.209999999999999,-17.33261339092872,,,,
2022,2022-10-04,20,19,15.046315789473685,14.86,4.75220908926261,6.09,26.63,10.224,20.77,,,,,,,,,,20.0,19.0,19.907894736842106,19.88,6.362578599337577,7.89,32.98,13.048,26.869999999999997,,,,,,,,,,2.0473684210526333,15.750263179204804,3.6799999999999997,32.9159212880143,3.1889473684210543,19.073852546748114,4.5699999999999985,29.849771391247536,,,,
2022,2022-10-07,20,20,13.972,12.265,5.228887976777109,6.51,24.22,8.021,21.347,,,,,,,,,,20.0,20.0,17.6215,14.55,6.6745646615380565,8.38,30.91,11.619,28.224,,,,,,,,,,-1.074315789473685,-7.140058765915769,-2.594999999999999,-17.462987886944813,-2.286394736842105,-11.48486450760079,-5.329999999999998,-26.81086519114687,,,,
2022,2022-10-11,20,20,16.6515,16.91,5.639850012003399,7.71,25.49,9.365,24.57,,,,,,,,,,20.0,20.0,20.7025,19.6,6.325817504897146,10.3,31.65,15.031,30.265,,,,,,,,,,2.679499999999999,19.177640996278257,4.645,37.871993477374644,3.0809999999999995,17.484323127997037,5.050000000000001,34.70790378006874,,,,
2022,2022-10-14,20,20,11.057,11.0,4.983996599644021,3.08,23.17,5.867,17.604000000000003,,,,,,,,,,20.0,19.0,14.062631578947368,13.41,5.89733917599498,6.25,26.4,7.024,20.527999999999995,,,,,,,,,,-5.594499999999998,-33.59757379215085,-5.91,-34.94973388527498,-6.639868421052633,-32.07278551408107,-6.190000000000001,-31.58163265306123,,,,
2022,2022-10-18,20,18,13.952222222222222,14.809999999999999,3.770494671175054,7.68,19.73,8.187999999999999,18.163,,,,,,,,,,20.0,18.0,18.493333333333332,18.72,5.7091062450831185,9.02,27.86,10.789,24.638,,,,,,,,,,2.8952222222222215,26.18451860560931,3.8099999999999987,34.63636363636362,4.430701754385964,31.50691767406464,5.309999999999999,39.59731543624161,,,,
2022,2022-10-21,20,20,15.1595,15.175,4.866012606252735,7.03,25.42,9.493,21.288000000000004,,,,,,,,,,20.0,20.0,19.4695,18.985,6.599387910213619,8.37,30.8,11.94,27.529000000000003,,,,,,,,,,1.2072777777777777,8.652942581826872,0.365000000000002,2.464550979068214,0.9761666666666677,5.2784787310742765,0.26500000000000057,1.4155982905982967,,,,
2022,2022-11-01,20,15,15.175999999999998,15.04,4.2423945394754865,6.02,22.21,11.024,20.596,,,,,,,,,,20.0,15.0,19.834666666666667,19.05,5.654858677868677,6.08,29.86,15.316,26.037999999999997,,,,,,,,,,0.01649999999999885,0.10884263992874121,-0.13500000000000156,-0.8896210873146737,0.3651666666666671,1.8755831771060771,0.06500000000000128,0.34237555965237476,,,,
2023,2023-07-26,20,12,9.199166666666667,9.23,0.8059489983111762,8.05,10.96,8.145,9.870000000000001,20.0,0.0,,,,,,,,20.0,12.0,11.505,11.504999999999999,1.760849485075572,7.62,14.53,10.116999999999999,13.164,20.0,20.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
2023,2023-07-29,20,20,11.5155,11.525,1.2600688159988054,9.3,14.4,10.187,12.815,20.0,0.0,,,,,,,,20.0,20.0,14.648500000000002,14.945,2.7792393412208085,10.04,21.82,10.926,17.03,20.0,20.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.3163333333333327,25.179817012410545,2.295,24.86457204767063,3.1435000000000013,27.322903085614957,3.4400000000000013,29.9000434593655,,,0.0,0.0
2023,2023-08-01,20,20,13.236500000000001,13.21,2.062107442705922,10.15,20.16,11.001,14.458,20.0,1.0,5.13,5.13,,5.13,5.13,5.13,5.13,20.0,20.0,17.3815,16.895,3.3071808236018785,11.93,27.68,14.329,19.829,20.0,20.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.7210000000000019,14.945074030654348,1.6850000000000005,14.620390455531451,2.732999999999997,18.65720039594496,1.9499999999999993,13.047842087654725,,,0.0,0.0
2023,2023-08-04,20,20,14.7715,14.885,3.0564483602618524,6.73,20.13,10.716000000000001,17.663000000000004,20.0,0.0,,,,,,,,20.0,20.0,20.0895,19.62,4.501047217329716,8.43,26.48,15.183,25.202,20.0,20.0,1.05,1.0,0.22360679774997907,1.0,2.0,1.0,1.0,1.5349999999999984,11.596721187625114,1.674999999999999,12.679788039364116,2.708000000000002,15.579783102724164,2.7250000000000014,16.129032258064523,,,0.050000000000000044,5.000000000000004
2023,2023-08-07,20,20,18.863,19.119999999999997,4.280843620743831,8.96,25.52,14.157000000000002,23.881999999999998,20.0,0.0,,,,,,,,20.0,20.0,25.217,25.355,5.884371897796652,12.61,33.08,18.517,32.372,20.0,20.0,1.05,1.0,0.22360679774997907,1.0,2.0,1.0,1.0,4.0915,27.698608807500925,4.234999999999998,28.451461202552885,5.127499999999998,25.523283307200263,5.734999999999999,29.230377166156973,,,0.0,0.0
2023,2023-08-11,20,20,23.465,22.955,5.110560274156785,11.07,33.37,17.531,28.830000000000002,20.0,7.0,8.392857142857142,8.02,2.121137385820119,5.28,11.86,6.48,10.696,20.0,20.0,29.276,29.415,5.3926298632583025,16.16,36.88,23.51,36.351,20.0,20.0,1.05,1.0,0.22360679774997907,1.0,2.0,1.0,1.0,4.602,24.39696760854584,3.835000000000001,20.057531380753147,4.059000000000001,16.096284252686676,4.059999999999999,16.01262078485506,,,0.0,0.0
2023,2023-08-13,20,18,19.435,22.75,8.992922216943722,5.57,34.87,7.098,28.606,20.0,9.0,9.346666666666668,8.48,4.453599667684558,4.46,17.69,5.3,15.386000000000001,20.0,18.0,24.23611111111111,28.225,10.772626605750713,6.04,37.94,8.972999999999999,35.506,20.0,18.0,1.3333333333333333,1.0,0.485071250072666,1.0,2.0,1.0,2.0,-4.030000000000001,-17.174515235457065,-0.2049999999999983,-0.8930516227401375,-5.039888888888889,-17.215087064110158,-1.1899999999999977,-4.0455549889512055,0.9538095238095252,11.364539007092223,0.2833333333333332,26.984126984126977
