date,tagged_fruit_id,value,year,measurement_type,source_file
2022-07-22,0,11.5,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-07-26,0,16.89,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-07-29,0,20.75,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-08-02,0,21.02,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-08-05,0,23.39,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-08-09,0,9.91,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-08-12,0,12.4,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-08-16,0,16.95,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-08-19,0,19.46,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-08-23,0,18.92,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-08-30,0,,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-09-06,0,14.79,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-09-09,0,18.38,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-09-13,0,3.95,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-09-16,0,5.77,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-09-20,0,,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-09-23,0,6.73,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-09-27,0,7.31,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-09-30,0,7.19,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-10-04,0,10.54,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
2022-10-07,0,12.61,2022,tagged_diameter_mm,data_taggedFruit_diameter_2022.csv
